crid,incident_date,x,y,xy
1080130,2016-04-15T00:00:00Z,-87.81679513700001,41.9638797846,POINT(-87.816795137 41.9638797846)
1080795,2016-04-15T00:00:00Z,-87.644103,41.752315,POINT(-87.644103 41.752315)
1080111,2016-04-14T00:00:00Z,-87.654613,41.782896,POINT(-87.654613 41.782896)
1080096,2016-04-13T15:40:00Z,-87.640908,41.760471,POINT(-87.640908 41.760471)
1080162,2016-04-13T00:01:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
1080078,2016-04-12T13:45:00Z,-87.64640899999999,41.837767,POINT(-87.646409 41.837767)
1080075,2016-04-12T13:30:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1080077,2016-04-12T13:25:00Z,-87.662646,41.881372,POINT(-87.662646 41.881372)
1080083,2016-04-11T17:00:00Z,-87.697186,41.984645,POINT(-87.697186 41.984645)
1080033,2016-04-09T03:55:00Z,-87.8233,41.8111,POINT(-87.8233 41.8111)
1080019,2016-04-08T12:30:00Z,-87.65585899999999,41.877843,POINT(-87.655859 41.877843)
1080000,2016-04-07T13:18:00Z,-87.708784,41.778989,POINT(-87.708784 41.778989)
1079999,2016-04-07T11:30:00Z,-87.567181,41.707788,POINT(-87.567181 41.707788)
1079964,2016-04-05T11:00:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1079929,2016-04-03T10:40:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
1079930,2016-04-03T10:40:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
1079908,2016-04-01T12:40:00Z,-87.756123,41.923782,POINT(-87.756123 41.923782)
1079893,2016-03-31T13:13:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1079885,2016-03-31T06:25:00Z,-87.728164,41.966048,POINT(-87.728164 41.966048)
1079890,2016-03-31T03:08:00Z,-87.567181,41.707788,POINT(-87.567181 41.707788)
1079872,2016-03-30T09:00:00Z,-87.602035,41.692855,POINT(-87.602035 41.692855)
1080044,2016-03-30T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079879,2016-03-29T23:20:00Z,-87.659601,41.877881,POINT(-87.659601 41.877881)
1081429,2016-03-29T13:00:00Z,-93.10713299999999,44.949115,POINT(-93.107133 44.949115)
1079856,2016-03-29T12:29:00Z,-87.662646,41.881372,POINT(-87.662646 41.881372)
1081814,2016-03-28T00:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079825,2016-03-27T07:30:00Z,-87.765237,41.973395000000004,POINT(-87.765237 41.973395)
1079817,2016-03-26T06:07:00Z,-87.53374699999999,41.688373,POINT(-87.533747 41.688373)
1079813,2016-03-25T18:00:00Z,-87.61792700000001,41.682282,POINT(-87.617927 41.682282)
1079905,2016-03-24T22:00:00Z,-87.668627,41.691694,POINT(-87.668627 41.691694)
1079806,2016-03-24T19:57:00Z,-87.708108,41.866398,POINT(-87.708108 41.866398)
1079795,2016-03-24T09:00:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1079778,2016-03-23T15:15:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079775,2016-03-23T13:29:00Z,-87.72420100000001,41.847532,POINT(-87.724201 41.847532)
1079771,2016-03-23T09:00:00Z,-87.694642,41.844352,POINT(-87.694642 41.844352)
1079769,2016-03-23T07:00:00Z,-87.69449399999999,41.844190999999995,POINT(-87.694494 41.844191)
1079780,2016-03-23T00:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079763,2016-03-22T13:39:00Z,-87.708784,41.778989,POINT(-87.708784 41.778989)
1079776,2016-03-22T00:00:00Z,-87.627502,41.858093,POINT(-87.627502 41.858093)
1079736,2016-03-20T10:49:00Z,-87.659601,41.877881,POINT(-87.659601 41.877881)
1079720,2016-03-19T11:00:00Z,-87.645306,41.751613,POINT(-87.645306 41.751613)
1079716,2016-03-19T05:35:00Z,-87.567181,41.707788,POINT(-87.567181 41.707788)
1079711,2016-03-18T20:00:00Z,-87.659601,41.877881,POINT(-87.659601 41.877881)
1079710,2016-03-18T14:30:00Z,-87.643574,41.903251000000004,POINT(-87.643574 41.903251)
1079714,2016-03-18T09:30:00Z,-87.6387137561,41.6954703208,POINT(-87.6387137561 41.6954703208)
1079697,2016-03-18T03:30:00Z,-76.36564200000001,17.916929999999997,POINT(-76.365642 17.91693)
1081409,2016-03-17T00:00:00Z,-87.69537,41.8435,POINT(-87.69537 41.8435)
1079679,2016-03-16T15:30:00Z,-87.65123,41.948182,POINT(-87.65123 41.948182)
1079687,2016-03-16T12:07:00Z,-87.710584,41.868122,POINT(-87.710584 41.868122)
1079677,2016-03-16T02:10:00Z,-87.732214,42.004462,POINT(-87.732214 42.004462)
1079669,2016-03-15T14:22:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079638,2016-03-13T08:27:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079630,2016-03-12T23:00:00Z,-87.816645,42.00226,POINT(-87.816645 42.00226)
1079809,2016-03-12T22:50:00Z,-87.81681800000001,42.002085,POINT(-87.816818 42.002085)
1079622,2016-03-11T18:00:00Z,-87.66083499999999,41.779651,POINT(-87.660835 41.779651)
1079643,2016-03-11T14:20:00Z,-87.656894,41.862955,POINT(-87.656894 41.862955)
1080280,2016-03-10T11:15:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079794,2016-03-10T07:00:00Z,-87.62378299999999,41.830636,POINT(-87.623783 41.830636)
1079644,2016-03-10T05:55:00Z,-87.789743,41.981455,POINT(-87.789743 41.981455)
1079594,2016-03-10T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079597,2016-03-09T00:00:00Z,-87.697291,41.921240000000004,POINT(-87.697291 41.92124)
1079558,2016-03-08T00:00:00Z,-87.6244,41.8756,POINT(-87.6244 41.8756)
1079527,2016-03-06T09:43:00Z,-87.693646,41.736911,POINT(-87.693646 41.736911)
1079941,2016-03-05T12:00:00Z,-87.68059000000001,41.872046999999995,POINT(-87.68059 41.872047)
1079514,2016-03-04T23:33:00Z,-87.752613,41.809314,POINT(-87.752613 41.809314)
1079495,2016-03-03T20:45:00Z,-87.627502,41.858093,POINT(-87.627502 41.858093)
1079573,2016-03-03T12:40:00Z,-87.630678,41.800861,POINT(-87.630678 41.800861)
1079551,2016-03-02T18:00:00Z,-87.644103,41.752315,POINT(-87.644103 41.752315)
1079466,2016-03-02T15:00:00Z,-87.602035,41.692855,POINT(-87.602035 41.692855)
1079472,2016-03-02T14:30:00Z,-87.604603,41.691287,POINT(-87.604603 41.691287)
1082354,2016-03-01T12:00:00Z,-87.6939027231,42.00124176,POINT(-87.6939027231 42.00124176)
1079903,2016-03-01T00:00:00Z,-87.630703,41.801784000000005,POINT(-87.630703 41.801784)
