name,number_of_total_complaints,number_of_officers,number_of_no_affidavit_complaints,number_of_sustained_complaints,number_of_disciplined_complaints
Community: ASHBURN,243,145,73,6,3
Community: LINCOLN PARK,152,86,53,0,0
Community: GREATER GRAND CROSSING,995,534,376,26,17
Community: ENGLEWOOD,882,457,308,30,28
Community: EDISON PARK,20,13,5,1,1
Community: EDGEWATER,168,102,51,4,3
Community: OHARE,11,3,3,0,0
Community: MORGAN PARK,314,178,96,18,14
Community: MOUNT GREENWOOD,117,75,40,3,1
Community: WASHINGTON HEIGHTS,322,144,112,5,2
Community: BEVERLY,129,97,32,6,6
Community: WEST ENGLEWOOD,1140,496,387,19,11
Community: CHICAGO LAWN,735,360,255,10,9
Community: GAGE PARK,190,115,79,0,0
Community: WEST ELSDON,47,36,21,0,0
Community: BRIDGEPORT,224,132,74,5,3
Community: MCKINLEY PARK,100,58,42,1,0
Community: BURNSIDE,23,17,17,0,0
Community: HERMOSA,47,29,14,0,0
Community: BRIGHTON PARK,197,124,83,5,4
Community: ARCHER HEIGHTS,83,54,33,2,2
Community: PULLMAN,377,221,77,35,25
Community: CALUMET HEIGHTS,137,97,39,3,3
Community: AVALON PARK,150,106,42,4,2
Community: ARMOUR SQUARE,88,57,27,2,0
Community: LOWER WEST SIDE,153,106,51,2,2
Community: SOUTH LAWNDALE,382,207,160,3,1
Community: EAST GARFIELD PARK,741,362,207,30,22
Community: WEST GARFIELD PARK,604,324,211,7,5
Community: HUMBOLDT PARK,822,451,365,1,1
Community: BELMONT CRAGIN,471,257,110,15,8
Community: MONTCLARE,45,36,10,2,2
Community: WASHINGTON PARK,269,166,97,0,0
Community: GRAND BOULEVARD,275,157,87,6,4
Community: FULLER PARK,343,216,92,25,17
Community: OAKLAND,33,22,9,1,0
Community: DOUGLAS,472,277,80,56,29
neighborhoods: Logan Square,357,211,133,12,7
neighborhoods: Beverly,129,97,32,6,6
