Log Number,Age,Sex,Ethnicity,Person_Count
1052124,17,MALE,WHITE HISPANIC,1
1052400,22,MALE,BLACK,1
1052578,22,MALE,BLACK,1
1052578,19,MALE,BLACK,2
1052578,24,MALE,BLACK,3
1052816,28,MALE,BLACK,1
1053065,27,MALE,BLACK,1
1053070,20,MALE,WHITE HISPANIC,1
1053070,15,MALE,WHITE HISPANIC,2
1053743,19,MALE,BLACK,1
1053897,29,MALE,BLACK,1
1053897,27,MALE,BLACK,2
1054264,24,MALE,BLACK,1
1054449,39,MALE,BLACK,1
1054596,41,MALE,WHITE HISPANIC,1
1054783,22,MALE,BLACK,1
1054961,21,MALE,BLACK,1
1055194,41,MALE,BLACK,1
1055434,29,MALE,BLACK,1
1055465,25,MALE,BLACK,1
1055931,18,MALE,BLACK,1
1056157,20,MALE,BLACK,1
1056390,28,MALE,BLACK,1
1056626,27,MALE,BLACK,1
1056789,38,MALE,BLACK,1
1056803,39,MALE,BLACK,1
1056966,27,MALE,WHITE HISPANIC,1
1057079,22,MALE,BLACK,1
1057079,23,MALE,BLACK,2
1057084,21,MALE,BLACK,1
1057383,21,MALE,BLACK,1
1057605,21,MALE,BLACK,1
1057747,17,MALE,BLACK,1
1058061,20,MALE,BLACK,1
1058061,26,MALE,BLACK,2
1058077,27,MALE,BLACK,1
1058279,17,MALE,BLACK,1
1058420,20,MALE,BLACK,1
1058573,29,MALE,BLACK,1
1058942,19,MALE,BLACK,1
1059167,50,MALE,BLACK,1
1059189,17,MALE,BLACK,1
1059193,27,MALE,BLACK,1
1059236,20,MALE,BLACK,1
1059304,45,MALE,BLACK,1
1059475,18,MALE,BLACK,1
1059475,20,MALE,BLACK,2
1059635,22,MALE,BLACK,1
1060132,28,MALE,BLACK,1
1060463,16,MALE,BLACK,1
1060585,17,MALE,BLACK,1
1060612,17,MALE,BLACK,1
1060762,31,MALE,WHITE HISPANIC,1
1060840,16,MALE,BLACK,1
1061883,35,MALE,BLACK,1
1062388,21,MALE,BLACK,1
1062791,31,MALE,BLACK,1
1062843,31,MALE,BLACK,1
1062955,20,MALE,BLACK,1
1063127,25,MALE,BLACK,1
1063201,20,MALE,WHITE HISPANIC,1
1063326,26,MALE,BLACK,1
1063442,52,MALE,WHITE,1
1064307,22,MALE,BLACK,1
1064735,31,MALE,WHITE HISPANIC,1
1065208,34,MALE,BLACK,1
1065582,44,MALE,WHITE HISPANIC,1
1065714,60,FEMALE,BLACK,1
1066144,28,MALE,BLACK,1
1066231,19,MALE,BLACK,1
1066554,21,MALE,BLACK,1
1066725,15,MALE,BLACK,1
1066725,16,MALE,BLACK,2
1067268,17,MALE,BLACK,1
1067572,17,MALE,BLACK,1
1067572,24,MALE,BLACK,2
1067572,20,MALE,BLACK,3
1068025,43,MALE,BLACK,1
1068046,22,MALE,BLACK,1
1068101,17,MALE,BLACK,1
1068139,19,MALE,BLACK,1
1068271,21,MALE,BLACK,1
1069194,19,MALE,BLACK,1
1069251,24,MALE,BLACK,1
1069560,22,MALE,BLACK,1
1069651,29,MALE,BLACK,1
1069721,39,MALE,WHITE,1
1069981,27,MALE,BLACK,1
1070168,17,MALE,BLACK,1
1070253,19,MALE,BLACK,1
1070443,18,MALE,BLACK,1
1070840,30,MALE,WHITE,1
1070951,16,FEMALE,BLACK,1
1071168,17,MALE,BLACK,1
1071348,20,MALE,BLACK,1
1071510,19,MALE,WHITE HISPANIC,1
1071524,20,MALE,BLACK,1
1071798,17,MALE,BLACK,1
1071894,42,MALE,BLACK,1
1071896,42,MALE,BLACK,1
1072056,21,MALE,BLACK,1
1072209,41,MALE,BLACK,1
1072297,17,MALE,BLACK,1
1072331,15,MALE,BLACK,1
1072342,32,MALE,BLACK,1
1072638,23,MALE,WHITE HISPANIC,1
1072855,22,MALE,WHITE HISPANIC,1
1072859,45,MALE,WHITE,1
1072911,21,MALE,BLACK,1
1073091,18,MALE,WHITE HISPANIC,1
1073105,25,MALE,BLACK,1
1073693,34,MALE,BLACK,1
1073787,18,FEMALE,BLACK,1
1074390,22,MALE,BLACK,1
1074488,19,MALE,BLACK,1
1074534,35,MALE,BLACK,1
1074736,19,MALE,BLACK,1
1075238,19,MALE,BLACK,1
1075238,23,MALE,BLACK,2
1075524,29,MALE,WHITE HISPANIC,1
1075770,23,MALE,BLACK,1
1076072,27,MALE,BLACK,1
1076081,25,MALE,BLACK,1
1076191,16,MALE,BLACK,1
1076204,41,MALE,WHITE HISPANIC,1
1076216,25,MALE,WHITE,1
1076261,23,MALE,,1
1076349,19,MALE,BLACK,1
1076367,22,MALE,BLACK,1
1076425,46,MALE,BLACK,1
1076544,24,MALE,BLACK,1
1076797,14,MALE,BLACK,1
1076815,16,MALE,BLACK,1
1076922,40,MALE,WHITE HISPANIC,1
1076922,30,MALE,WHITE HISPANIC,2
1077004,26,MALE,BLACK,1
1077087,30,FEMALE,BLACK,1
1077146,22,MALE,BLACK,1
1077162,19,MALE,BLACK,1
1077328,33,MALE,BLACK,1
1077348,21,MALE,WHITE HISPANIC,1
1077428,31,MALE,BLACK,1
1077435,21,MALE,BLACK,1
1077467,33,MALE,WHITE HISPANIC,1
