Investigator_Last_Name,Investigator_First_Name,Current_Report,Current_Rank,FOIA_Request_Number,Report_Produced_Date
PIONKE,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
DEL VALLE,NOEL,121,POLICE AGENT,FOIA 14-5509,
MC KEITHEN,GRADY,376,SERGEANT OF POLICE,FOIA 14-5509,
BROWN,RAIMONDO,5,SERGEANT OF POLICE,FOIA 14-5509,
LUCID,JOHN,701,SERGEANT OF POLICE,FOIA 14-5509,
CRADICK,JAMES,121,SERGEANT OF POLICE,FOIA 14-5509,
HARRIS,GWENDOLYN,121,POLICE AGENT,FOIA 14-5509,
THOMAS,ARTRA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
JONES,VINCENT,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
SNARSKIS,STANLEY,12,SERGEANT OF POLICE,FOIA 14-5509,
MC ELRATH,DENOGYA,376,SERGEANT OF POLICE,FOIA 14-5509,
CALDWELL,DAVID,121,POLICE AGENT,FOIA 14-5509,
LYONS,KRISTI,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
BICKHAM,TIMOTHY,9,LIEUTENANT OF POLICE,FOIA 14-5509,
WILLIAMS,ONETTA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
BOWENS,DARREN,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
PLANEY,JEFFERY,213,SERGEANT OF POLICE,FOIA 14-5509,
UDING,BRYON,16,SERGEANT OF POLICE,FOIA 14-5509,
SAHNAS,KEN,10,LIEUTENANT OF POLICE,FOIA 14-5509,
CRADICK,JAMES,121,SERGEANT OF POLICE,FOIA 14-5509,
SKOL,LARRY,121,SERGEANT OF POLICE,FOIA 14-5509,
BOEHMER,ALLEN,543,SERGEANT OF POLICE,FOIA 14-5509,
WILLIS,MARGIT,2,SERGEANT OF POLICE,FOIA 14-5509,
KUSAR,JOSEPH,11,SERGEANT OF POLICE,FOIA 14-5509,
RYLE,MICHAEL,189,LIEUTENANT OF POLICE,FOIA 14-5509,
BIALAS,MARYANN,12,SERGEANT OF POLICE,FOIA 14-5509,
MAGNO,MICHAEL,115,SERGEANT OF POLICE,FOIA 14-5509,
WALSH,WILLIAM,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
PETTIS,CHRISTOPH,121,SERGEANT OF POLICE,FOIA 14-5509,
GOPEZ,FREDERICH,701,SERGEANT OF POLICE,FOIA 14-5509,
SANDERS,ERICA,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
MARAFFINO,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
NEAL JR,WILBERT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
LOTT,CORNELIA,20,COMMANDER,FOIA 14-5509,
DOUGHERTY,MICHAEL,22,SERGEANT OF POLICE,FOIA 14-5509,
MICELI,MARY,16,SERGEANT OF POLICE,FOIA 14-5509,
DAVIS,LAKEISHA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
GOLDSTON,MICHAEL,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
DEL VALLE,NOEL,121,POLICE AGENT,FOIA 14-5509,
CRUZ,MICHAEL,121,POLICE OFFICER,FOIA 14-5509,
WHITE,LAKENYA,113,INTAKE AIDE,FOIA 14-5509,
PIONKE,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
PIONKE,JOSEPH,121,SERGEANT OF POLICE,FOIA 14-5509,
MC DERMOTT,THOMAS,22,SERGEANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
PEABODY,ROBERT,10,LIEUTENANT OF POLICE,FOIA 14-5509,
REILLY,DAWN,4,SERGEANT OF POLICE,FOIA 14-5509,
WEBB,MAIRA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
BACON,RANDALL,121,PO AS DETECTIVE,FOIA 14-5509,
SKOL,LARRY,121,SERGEANT OF POLICE,FOIA 14-5509,
MC GUIRE,TERRENCE,3,LIEUTENANT OF POLICE,FOIA 14-5509,
HAYES,SHANNON,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
STRUKE,MARK,20,SERGEANT OF POLICE,FOIA 14-5509,
DOWNS,RICHARD,121,SERGEANT OF POLICE,FOIA 14-5509,
FLEMING,BRIAN,113,INVESTIGATOR I IPRA,FOIA 14-5509,
MAMMOSER,CHARLES,18,SERGEANT OF POLICE,FOIA 14-5509,
OLSON,ERIC,7,LIEUTENANT OF POLICE,FOIA 14-5509,
ALONZO,EDWARD,20,SERGEANT OF POLICE,FOIA 14-5509,
COSEY,ROBERT,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
FINNELLY,THOMAS,543,SERGEANT OF POLICE,FOIA 14-5509,
LETT,KELVIN,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
DAVIS,LAKEISHA,113,INVESTIGATOR 2 IPRA,FOIA 14-5509,
KILLEN,BRIAN,113,INVESTIGATOR 3 IPRA,FOIA 14-5509,
BOYD,DION,610,SERGEANT OF POLICE,FOIA 14-5509,
BETTS,DWAYNE,15,COMMANDER,FOIA 14-5509,
FINNELLY,THOMAS,543,SERGEANT OF POLICE,FOIA 14-5509,
GALINDO,MARGARITA,113,INVESTIGATOR I IPRA,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
WENDT,ALBERT,166,POLICE AGENT,FOIA 14-5509,
LEWISON,KELLY,123,SERGEANT OF POLICE,FOIA 14-5509,
KWASINSKI,PHILIP,12,CAPTAIN OF POLICE,FOIA 14-5509,
MATTHEWS,ROMAN,121,POLICE OFFICER,FOIA 14-5509,
BRECKENRIDGE,CHARLES,121,POLICE AGENT,FOIA 14-5509,
HOLT,ELGIN,620,LIEUTENANT OF POLICE,FOIA 14-5509,
REILLY,DAWN,4,SERGEANT OF POLICE,FOIA 14-5509,
KLIMAS,ROBERT,121,COMMANDER,FOIA 14-5509,
HENEGHAN,JAMES,9,SERGEANT OF POLICE,FOIA 14-5509,
ASSAF,MAJED,121,SERGEANT OF POLICE,FOIA 14-5509,
BATEY,TERRY,121,POLICE OFFICER,FOIA 14-5509,
CALDWELL,DAVID,121,POLICE AGENT,FOIA 14-5509,
