CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1050400,F,63.07671232876713,BLACK,FOIA 14-5509,2015-08-03
1050404,M,26.317808219178083,BLACK,FOIA 14-5509,2015-08-03
1050405,F,32.80821917808219,BLACK,FOIA 14-5509,2015-08-03
1050409,M,30.293150684931508,BLACK,FOIA 14-5509,2015-08-03
1050411,M,34.21369863013699,BLACK,FOIA 14-5509,2015-08-03
1050412,F,43.153424657534245,BLACK,FOIA 14-5509,2015-08-03
1050414,M,,WHITE,FOIA 14-5509,2015-08-03
1050416,M,29.312328767123287,BLACK,FOIA 14-5509,2015-08-03
1050418,F,54.38082191780822,BLACK,FOIA 14-5509,2015-08-03
1050421,M,57.9041095890411,WHITE,FOIA 14-5509,2015-08-03
1050422,M,24.126027397260273,BLACK,FOIA 14-5509,2015-08-03
1050423,M,25.767123287671236,BLACK,FOIA 14-5509,2015-08-03
1050425,M,51.5041095890411,WHITE,FOIA 14-5509,2015-08-03
1050427,F,32.16986301369863,WHITE,FOIA 14-5509,2015-08-03
1050431,F,42.62465753424657,BLACK,FOIA 14-5509,2015-08-03
1050433,F,38.676712328767124,BLACK,FOIA 14-5509,2015-08-03
1050435,M,55.701369863013696,BLACK,FOIA 14-5509,2015-08-03
1050436,M,31.449315068493153,BLACK,FOIA 14-5509,2015-08-03
1050438,M,,WHITE,FOIA 14-5509,2015-08-03
1050439,M,,WHITE,FOIA 14-5509,2015-08-03
1050441,F,36.778082191780825,BLACK,FOIA 14-5509,2015-08-03
1050442,M,,WHITE,FOIA 14-5509,2015-08-03
1050444,F,52.323287671232876,BLACK,FOIA 14-5509,2015-08-03
1050445,M,43.44109589041096,BLACK,FOIA 14-5509,2015-08-03
1050447,M,29.21095890410959,BLACK,FOIA 14-5509,2015-08-03
1050448,F,42.01643835616438,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050452,M,48.04657534246576,BLACK,FOIA 14-5509,2015-08-03
1050453,M,52.8054794520548,WHITE,FOIA 14-5509,2015-08-03
1050454,M,23.394520547945202,BLACK,FOIA 14-5509,2015-08-03
1050458,M,25.528767123287672,BLACK,FOIA 14-5509,2015-08-03
1050461,F,30.315068493150683,BLACK,FOIA 14-5509,2015-08-03
1050462,M,35.95890410958904,BLACK,FOIA 14-5509,2015-08-03
1050464,F,42.82465753424657,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050466,F,37.14246575342466,BLACK,FOIA 14-5509,2015-08-03
1050471,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1050472,M,22.501369863013696,BLACK,FOIA 14-5509,2015-08-03
1050474,M,28.865753424657534,BLACK,FOIA 14-5509,2015-08-03
1050479,M,56.62739726027397,WHITE,FOIA 14-5509,2015-08-03
1050482,M,46.71780821917808,WHITE,FOIA 14-5509,2015-08-03
1050484,F,32.40821917808219,WHITE,FOIA 14-5509,2015-08-03
1050486,F,56.35616438356165,BLACK,FOIA 14-5509,2015-08-03
1050487,F,41.942465753424656,BLACK,FOIA 14-5509,2015-08-03
1050488,M,61.460273972602735,BLACK,FOIA 14-5509,2015-08-03
1050489,M,35.09041095890411,BLACK,FOIA 14-5509,2015-08-03
1050491,F,53.00821917808219,BLACK,FOIA 14-5509,2015-08-03
1050493,M,32.76438356164384,BLACK,FOIA 14-5509,2015-08-03
1050497,F,50.83561643835617,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050498,M,23.682191780821917,BLACK,FOIA 14-5509,2015-08-03
1050499,M,24.98082191780822,HISPANIC,FOIA 14-5509,2015-08-03
1050501,F,49.860273972602734,BLACK,FOIA 14-5509,2015-08-03
1050502,M,49.95342465753424,WHITE,FOIA 14-5509,2015-08-03
1050504,M,,BLACK,FOIA 14-5509,2015-08-03
1050505,F,37.345205479452055,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1050508,F,,BLACK,FOIA 14-5509,2015-08-03
1050509,F,54.865753424657534,BLACK,FOIA 14-5509,2015-08-03
1050510,M,43.95068493150685,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050511,M,49.23561643835617,WHITE,FOIA 14-5509,2015-08-03
1050512,F,58.32054794520548,BLACK,FOIA 14-5509,2015-08-03
1050513,M,43.56986301369863,BLACK,FOIA 14-5509,2015-08-03
1050514,M,33.28219178082192,WHITE,FOIA 14-5509,2015-08-03
1050515,M,27.126027397260273,BLACK,FOIA 14-5509,2015-08-03
1050519,M,37.21643835616439,BLACK,FOIA 14-5509,2015-08-03
1050520,F,52.46301369863014,BLACK,FOIA 14-5509,2015-08-03
1050522,F,33.21369863013699,BLACK,FOIA 14-5509,2015-08-03
1050523,F,50.556164383561644,BLACK,FOIA 14-5509,2015-08-03
1050524,M,47.23835616438356,BLACK,FOIA 14-5509,2015-08-03
1050527,M,53.43013698630137,BLACK,FOIA 14-5509,2015-08-03
1050528,F,39.657534246575345,BLACK,FOIA 14-5509,2015-08-03
1050529,F,46.03835616438356,BLACK,FOIA 14-5509,2015-08-03
1050531,F,36.78082191780822,BLACK,FOIA 14-5509,2015-08-03
1050532,M,66.78630136986301,BLACK,FOIA 14-5509,2015-08-03
1050533,M,44.56712328767123,BLACK,FOIA 14-5509,2015-08-03
1050537,F,53.06301369863014,BLACK,FOIA 14-5509,2015-08-03
1050540,F,,BLACK,FOIA 14-5509,2015-08-03
1050541,F,40.443835616438356,WHITE,FOIA 14-5509,2015-08-03
1050547,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1050548,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1050551,M,40.293150684931504,BLACK,FOIA 14-5509,2015-08-03
1050552,M,45.79178082191781,BLACK,FOIA 14-5509,2015-08-03
1050553,M,60.6986301369863,BLACK,FOIA 14-5509,2015-08-03
1050558,F,36.54794520547945,BLACK,FOIA 14-5509,2015-08-03
1050560,F,,BLACK,FOIA 14-5509,2015-08-03
1050562,M,45.178082191780824,BLACK,FOIA 14-5509,2015-08-03
1050564,F,36.487671232876714,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050565,M,59.52328767123288,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050566,M,34.66849315068493,BLACK,FOIA 14-5509,2015-08-03
1050568,M,26.769863013698632,BLACK,FOIA 14-5509,2015-08-03
1050569,M,,BLACK,FOIA 14-5509,2015-08-03
1050571,F,25.4054794520548,BLACK,FOIA 14-5509,2015-08-03
1050572,F,42.56438356164384,HISPANIC,FOIA 14-5509,2015-08-03
1050573,F,44.5041095890411,BLACK,FOIA 14-5509,2015-08-03
1050576,M,51.34246575342466,BLACK,FOIA 14-5509,2015-08-03
1050579,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1050581,F,22.82191780821918,BLACK,FOIA 14-5509,2015-08-03
1050583,F,46.24657534246576,WHITE,FOIA 14-5509,2015-08-03
1050584,F,52.394520547945206,BLACK,FOIA 14-5509,2015-08-03
1050587,M,29.945205479452056,BLACK,FOIA 14-5509,2015-08-03
1050588,M,56.51780821917808,BLACK,FOIA 14-5509,2015-08-03
1050592,M,51.19726027397261,WHITE,FOIA 14-5509,2015-08-03
1050595,F,55.16986301369863,BLACK HISPANIC,FOIA 14-5509,2015-08-03
1050597,M,54.56986301369864,HISPANIC,FOIA 14-5509,2015-08-03
1050599,M,55.16986301369863,WHITE,FOIA 14-5509,2015-08-03
1050600,M,48.682191780821924,BLACK,FOIA 14-5509,2015-08-03
1050603,F,36.44109589041096,BLACK,FOIA 14-5509,2015-08-03
1050604,M,29.46301369863014,BLACK,FOIA 14-5509,2015-08-03
1050606,M,54.56986301369864,HISPANIC,FOIA 14-5509,2015-08-03
1050608,M,23.564383561643837,BLACK,FOIA 14-5509,2015-08-03
1050613,F,-902.5506849315069,BLACK,FOIA 14-5509,2015-08-03
1050616,M,29.956164383561646,BLACK,FOIA 14-5509,2015-08-03
1050618,F,39.054794520547944,WHITE,FOIA 14-5509,2015-08-03
1050619,M,42.93424657534247,BLACK,FOIA 14-5509,2015-08-03
1050620,M,34.52328767123288,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050621,F,,BLACK,FOIA 14-5509,2015-08-03
1050622,F,51.509589041095886,BLACK,FOIA 14-5509,2015-08-03
1050623,F,59.980821917808214,BLACK,FOIA 14-5509,2015-08-03
1050627,M,25.35890410958904,UNKNOWN,FOIA 14-5509,2015-08-03
1050628,M,29.312328767123287,BLACK,FOIA 14-5509,2015-08-03
1050630,M,31.506849315068493,BLACK,FOIA 14-5509,2015-08-03
1050633,F,62.91232876712329,BLACK,FOIA 14-5509,2015-08-03
1050635,M,53.6958904109589,WHITE,FOIA 14-5509,2015-08-03
1050636,M,35.78082191780822,BLACK,FOIA 14-5509,2015-08-03
1050637,M,43.161643835616445,WHITE,FOIA 14-5509,2015-08-03
1050640,M,40.97534246575343,BLACK,FOIA 14-5509,2015-08-03
1050641,M,26.145205479452056,BLACK,FOIA 14-5509,2015-08-03
1050642,M,49.893150684931506,BLACK,FOIA 14-5509,2015-08-03
1050644,F,48.460273972602735,BLACK,FOIA 14-5509,2015-08-03
1050645,F,49.6,BLACK,FOIA 14-5509,2015-08-03
1050647,M,36.917808219178085,BLACK,FOIA 14-5509,2015-08-03
1050651,F,55.22191780821918,WHITE,FOIA 14-5509,2015-08-03
1050652,M,,WHITE,FOIA 14-5509,2015-08-03
1050653,F,27.89041095890411,BLACK,FOIA 14-5509,2015-08-03
1050656,M,42.12876712328767,BLACK,FOIA 14-5509,2015-08-03
1050657,M,27.646575342465752,BLACK,FOIA 14-5509,2015-08-03
1050659,M,41.91780821917808,BLACK,FOIA 14-5509,2015-08-03
1050661,F,26.443835616438356,BLACK,FOIA 14-5509,2015-08-03
1050662,M,27.117808219178084,BLACK,FOIA 14-5509,2015-08-03
1050665,F,40.02191780821918,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050666,M,42.76712328767123,BLACK,FOIA 14-5509,2015-08-03
1050667,F,57.81369863013699,BLACK,FOIA 14-5509,2015-08-03
1050669,F,68.0109589041096,BLACK,FOIA 14-5509,2015-08-03
1050670,M,38.07397260273973,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050671,M,53.96712328767123,WHITE,FOIA 14-5509,2015-08-03
1050673,F,38.13698630136986,WHITE,FOIA 14-5509,2015-08-03
1050675,M,51.01643835616438,BLACK,FOIA 14-5509,2015-08-03
1050679,F,,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050681,M,55.484931506849314,WHITE,FOIA 14-5509,2015-08-03
1050682,F,28.013698630136986,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050683,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1050684,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1050685,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1050686,M,40.109589041095894,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050687,F,32.62739726027397,BLACK,FOIA 14-5509,2015-08-03
1050688,M,,BLACK,FOIA 14-5509,2015-08-03
1050689,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1050691,M,22.841095890410962,BLACK,FOIA 14-5509,2015-08-03
1050692,F,50.20821917808219,BLACK,FOIA 14-5509,2015-08-03
1050693,M,45.4,WHITE,FOIA 14-5509,2015-08-03
1050694,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1050695,F,38.5013698630137,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050696,M,46.13698630136986,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1050697,F,43.68493150684932,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050699,F,33.915068493150685,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050702,M,58.87671232876713,BLACK,FOIA 14-5509,2015-08-03
1050704,M,45.5945205479452,BLACK,FOIA 14-5509,2015-08-03
1050705,M,32.16712328767123,BLACK,FOIA 14-5509,2015-08-03
1050706,M,23.567123287671233,BLACK,FOIA 14-5509,2015-08-03
1050708,F,30.52328767123288,BLACK,FOIA 14-5509,2015-08-03
1050709,F,73.63835616438357,BLACK,FOIA 14-5509,2015-08-03
1050710,F,50.608219178082194,BLACK,FOIA 14-5509,2015-08-03
1050711,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1050712,F,61.69315068493151,HISPANIC,FOIA 14-5509,2015-08-03
1050715,M,,BLACK,FOIA 14-5509,2015-08-03
1050717,M,45.90958904109589,WHITE,FOIA 14-5509,2015-08-03
1050718,F,55.16712328767123,BLACK,FOIA 14-5509,2015-08-03
1050720,M,28.221917808219178,BLACK,FOIA 14-5509,2015-08-03
1050721,M,57.679452054794524,UNKNOWN,FOIA 14-5509,2015-08-03
1050723,F,26.72876712328767,BLACK,FOIA 14-5509,2015-08-03
1050724,M,35.69315068493151,BLACK,FOIA 14-5509,2015-08-03
1050725,F,50.608219178082194,BLACK,FOIA 14-5509,2015-08-03
1050726,M,38.31506849315068,BLACK,FOIA 14-5509,2015-08-03
1050727,F,44.63835616438356,HISPANIC,FOIA 14-5509,2015-08-03
1050727,F,58.56986301369864,WHITE,FOIA 14-5509,2015-08-03
1050728,M,,BLACK,FOIA 14-5509,2015-08-03
1050729,M,45.14794520547945,BLACK,FOIA 14-5509,2015-08-03
1050730,M,41.084931506849315,BLACK,FOIA 14-5509,2015-08-03
1050738,F,52.52602739726028,WHITE,FOIA 14-5509,2015-08-03
1050739,M,27.904109589041095,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050740,F,25.443835616438356,BLACK HISPANIC,FOIA 14-5509,2015-08-03
1050747,M,26.482191780821918,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050749,F,25.254794520547943,BLACK,FOIA 14-5509,2015-08-03
1050750,M,58.013698630136986,WHITE,FOIA 14-5509,2015-08-03
1050753,M,30.156164383561645,BLACK,FOIA 14-5509,2015-08-03
1050758,F,27.893150684931506,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050758,M,57.72054794520548,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050759,M,,BLACK,FOIA 14-5509,2015-08-03
1050760,F,56.8027397260274,BLACK,FOIA 14-5509,2015-08-03
1050762,M,59.090410958904116,BLACK,FOIA 14-5509,2015-08-03
1050763,M,39.38356164383561,WHITE,FOIA 14-5509,2015-08-03
1050765,F,29.934246575342467,BLACK,FOIA 14-5509,2015-08-03
1050766,M,57.74246575342466,BLACK,FOIA 14-5509,2015-08-03
1050767,M,36.61369863013699,BLACK,FOIA 14-5509,2015-08-03
1050769,M,40.345205479452055,BLACK,FOIA 14-5509,2015-08-03
1050770,F,47.794520547945204,BLACK,FOIA 14-5509,2015-08-03
1050771,F,,BLACK,FOIA 14-5509,2015-08-03
1050774,M,46.24931506849315,WHITE,FOIA 14-5509,2015-08-03
1050775,M,21.389041095890413,WHITE,FOIA 14-5509,2015-08-03
1050776,F,36.24383561643835,BLACK,FOIA 14-5509,2015-08-03
1050778,M,42.31506849315068,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050782,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1050783,F,73.14520547945206,WHITE,FOIA 14-5509,2015-08-03
1050783,M,,WHITE,FOIA 14-5509,2015-08-03
1050784,M,56.20821917808219,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050786,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1050787,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1050789,F,60.00273972602739,BLACK,FOIA 14-5509,2015-08-03
1050791,F,58.057534246575344,BLACK,FOIA 14-5509,2015-08-03
1050792,M,45.849315068493155,BLACK,FOIA 14-5509,2015-08-03
1050794,M,26.460273972602742,BLACK,FOIA 14-5509,2015-08-03
1050796,M,89.83287671232877,BLACK,FOIA 14-5509,2015-08-03
1050797,M,75.55616438356165,BLACK,FOIA 14-5509,2015-08-03
1050799,M,28.057534246575344,BLACK,FOIA 14-5509,2015-08-03
1050802,M,33.14794520547945,UNKNOWN,FOIA 14-5509,2015-08-03
1050803,F,,BLACK,FOIA 14-5509,2015-08-03
1050804,F,66.13424657534247,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1050806,M,40.032876712328765,BLACK,FOIA 14-5509,2015-08-03
1050807,M,37.04657534246575,BLACK,FOIA 14-5509,2015-08-03
1050809,M,24.926027397260274,BLACK,FOIA 14-5509,2015-08-03
1050810,F,41.89041095890411,BLACK,FOIA 14-5509,2015-08-03
1050811,M,62.51780821917808,HISPANIC,FOIA 14-5509,2015-08-03
1050813,M,46.509589041095886,BLACK,FOIA 14-5509,2015-08-03
1050814,M,50.07671232876713,WHITE,FOIA 14-5509,2015-08-03
1050815,F,48.276712328767125,BLACK,FOIA 14-5509,2015-08-03
1050815,M,49.71780821917808,BLACK,FOIA 14-5509,2015-08-03
1050821,M,46.3013698630137,WHITE,FOIA 14-5509,2015-08-03
1050823,M,29.312328767123287,BLACK,FOIA 14-5509,2015-08-03
1050830,X,,UNKNOWN,FOIA 14-5509,2015-08-03
1050831,M,58.02191780821918,BLACK,FOIA 14-5509,2015-08-03
1050832,M,31.115068493150684,BLACK,FOIA 14-5509,2015-08-03
1050834,M,37.295890410958904,BLACK,FOIA 14-5509,2015-08-03
1050841,F,36.93150684931507,BLACK,FOIA 14-5509,2015-08-03
1050843,M,54.849315068493155,WHITE,FOIA 14-5509,2015-08-03
1050845,F,34.83287671232877,BLACK,FOIA 14-5509,2015-08-03
1050846,M,24.035616438356165,BLACK,FOIA 14-5509,2015-08-03
1050849,F,74.58356164383562,BLACK,FOIA 14-5509,2015-08-03
1050856,F,20.726027397260275,BLACK,FOIA 14-5509,2015-08-03
1050857,X,,UNKNOWN,FOIA 14-5509,2015-08-03
1050861,M,52.51780821917808,WHITE,FOIA 14-5509,2015-08-03
1050863,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1050866,F,44.14794520547945,BLACK,FOIA 14-5509,2015-08-03
1050868,M,42.553424657534244,BLACK,FOIA 14-5509,2015-08-03
1050870,F,49.12054794520548,HISPANIC,FOIA 14-5509,2015-08-03
1050871,F,38.35068493150685,BLACK,FOIA 14-5509,2015-08-03
1050873,M,28.895890410958906,WHITE,FOIA 14-5509,2015-08-03
1050875,F,37.74794520547945,BLACK,FOIA 14-5509,2015-08-03
1050876,F,55.45205479452055,BLACK,FOIA 14-5509,2015-08-03
1050877,F,,BLACK,FOIA 14-5509,2015-08-03
1050879,M,66.06575342465753,WHITE,FOIA 14-5509,2015-08-03
1050882,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1050883,F,30.997260273972604,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1050887,M,55.991780821917814,WHITE,FOIA 14-5509,2015-08-03
1050889,M,57.1041095890411,BLACK,FOIA 14-5509,2015-08-03
1050891,F,66.7013698630137,BLACK,FOIA 14-5509,2015-08-03
1050893,M,27.473972602739728,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050894,M,57.12876712328767,BLACK,FOIA 14-5509,2015-08-03
1050896,M,57.98356164383562,WHITE,FOIA 14-5509,2015-08-03
1050897,F,55.586301369863016,BLACK,FOIA 14-5509,2015-08-03
1050900,F,35.93424657534247,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050901,M,34.78630136986301,BLACK,FOIA 14-5509,2015-08-03
1050903,M,26.301369863013697,BLACK,FOIA 14-5509,2015-08-03
1050906,M,39.46027397260274,BLACK,FOIA 14-5509,2015-08-03
1050908,F,52.52602739726028,WHITE,FOIA 14-5509,2015-08-03
1050911,F,64.42465753424658,BLACK,FOIA 14-5509,2015-08-03
1050912,F,33.31232876712328,BLACK,FOIA 14-5509,2015-08-03
1050914,F,45.72054794520548,BLACK,FOIA 14-5509,2015-08-03
1050915,F,45.72054794520548,BLACK,FOIA 14-5509,2015-08-03
1050917,F,40.43013698630137,BLACK,FOIA 14-5509,2015-08-03
1050920,M,36.178082191780824,BLACK,FOIA 14-5509,2015-08-03
1050921,M,40.24931506849315,BLACK,FOIA 14-5509,2015-08-03
1050922,F,46.62191780821918,BLACK,FOIA 14-5509,2015-08-03
1050923,F,80.2054794520548,BLACK,FOIA 14-5509,2015-08-03
1050928,F,57.772602739726025,BLACK,FOIA 14-5509,2015-08-03
1050930,F,29.416438356164385,BLACK,FOIA 14-5509,2015-08-03
1050932,F,40.980821917808214,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050934,F,28.589041095890412,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050935,F,,BLACK,FOIA 14-5509,2015-08-03
1050936,M,39.443835616438356,BLACK,FOIA 14-5509,2015-08-03
1050938,M,40.09315068493151,BLACK,FOIA 14-5509,2015-08-03
1050939,F,38.969863013698635,BLACK,FOIA 14-5509,2015-08-03
1050940,M,55.991780821917814,WHITE,FOIA 14-5509,2015-08-03
1050941,F,43.85205479452055,BLACK,FOIA 14-5509,2015-08-03
1050944,M,30.865753424657534,BLACK,FOIA 14-5509,2015-08-03
1050945,F,55.97808219178082,BLACK,FOIA 14-5509,2015-08-03
1050946,F,55.97808219178082,BLACK,FOIA 14-5509,2015-08-03
1050947,F,54.1041095890411,BLACK,FOIA 14-5509,2015-08-03
1050948,M,27.02191780821918,BLACK,FOIA 14-5509,2015-08-03
1050949,M,32.38904109589041,BLACK,FOIA 14-5509,2015-08-03
1050952,F,38.46027397260274,BLACK,FOIA 14-5509,2015-08-03
1050953,M,,BLACK HISPANIC,FOIA 14-5509,2015-08-03
1050954,F,,BLACK,FOIA 14-5509,2015-08-03
1050956,F,36.95616438356165,BLACK,FOIA 14-5509,2015-08-03
1050959,M,,BLACK,FOIA 14-5509,2015-08-03
1050960,F,46.68767123287671,BLACK,FOIA 14-5509,2015-08-03
1050961,F,60.55068493150685,BLACK,FOIA 14-5509,2015-08-03
1050961,M,50.52054794520548,BLACK,FOIA 14-5509,2015-08-03
1050962,F,42.8958904109589,BLACK,FOIA 14-5509,2015-08-03
1050965,M,60.29041095890411,WHITE,FOIA 14-5509,2015-08-03
1050965,M,60.5945205479452,BLACK,FOIA 14-5509,2015-08-03
1050970,F,51.99452054794521,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050972,F,39.41917808219178,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1050973,F,62.898630136986306,BLACK,FOIA 14-5509,2015-08-03
1050975,M,,BLACK,FOIA 14-5509,2015-08-03
1050977,M,55.83835616438356,BLACK,FOIA 14-5509,2015-08-03
1050978,M,,BLACK,FOIA 14-5509,2015-08-03
1050984,F,41.02191780821918,BLACK,FOIA 14-5509,2015-08-03
1050986,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1050987,M,31.33150684931507,BLACK,FOIA 14-5509,2015-08-03
1050988,F,42.04383561643836,BLACK,FOIA 14-5509,2015-08-03
1050989,M,32.293150684931504,BLACK,FOIA 14-5509,2015-08-03
1050990,M,,WHITE,FOIA 14-5509,2015-08-03
1050992,F,50.227397260273975,BLACK,FOIA 14-5509,2015-08-03
1050993,M,23.183561643835613,BLACK,FOIA 14-5509,2015-08-03
1050993,F,53.797260273972604,BLACK,FOIA 14-5509,2015-08-03
1050994,F,25.328767123287673,BLACK,FOIA 14-5509,2015-08-03
1050996,M,33.57260273972603,BLACK,FOIA 14-5509,2015-08-03
1050997,F,39.942465753424656,BLACK,FOIA 14-5509,2015-08-03
1051000,F,28.416438356164385,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1051001,F,43.45205479452055,BLACK,FOIA 14-5509,2015-08-03
1051002,F,43.59178082191781,BLACK,FOIA 14-5509,2015-08-03
1051004,M,41.59726027397261,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1051005,M,26.298630136986304,BLACK,FOIA 14-5509,2015-08-03
1051008,M,34.12876712328767,BLACK,FOIA 14-5509,2015-08-03
1051009,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1051010,M,54.41369863013699,BLACK,FOIA 14-5509,2015-08-03
1051011,M,38.21369863013699,BLACK,FOIA 14-5509,2015-08-03
1051013,M,24.778082191780822,WHITE,FOIA 14-5509,2015-08-03
1051014,M,44.59178082191781,BLACK,FOIA 14-5509,2015-08-03
1051016,F,37.153424657534245,BLACK,FOIA 14-5509,2015-08-03
1051020,F,41.057534246575344,BLACK,FOIA 14-5509,2015-08-03
1051021,M,37.586301369863016,BLACK,FOIA 14-5509,2015-08-03
1051022,M,45.4,WHITE,FOIA 14-5509,2015-08-03
1051023,M,57.75616438356165,BLACK,FOIA 14-5509,2015-08-03
1051025,M,35.68767123287672,BLACK,FOIA 14-5509,2015-08-03
1051026,M,22.487671232876714,BLACK,FOIA 14-5509,2015-08-03
1051027,F,41.78082191780822,BLACK,FOIA 14-5509,2015-08-03
1051028,M,49.4958904109589,BLACK,FOIA 14-5509,2015-08-03
1051030,F,,BLACK HISPANIC,FOIA 14-5509,2015-08-03
1051030,M,,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1051031,M,,UNKNOWN,FOIA 14-5509,2015-08-03
1051034,M,47.468493150684935,BLACK,FOIA 14-5509,2015-08-03
1051035,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1051037,F,47.4,BLACK,FOIA 14-5509,2015-08-03
1051038,M,31.230136986301368,BLACK,FOIA 14-5509,2015-08-03
1051040,F,30.86027397260274,BLACK,FOIA 14-5509,2015-08-03
1051043,F,27.67123287671233,BLACK,FOIA 14-5509,2015-08-03
1051044,F,27.38082191780822,BLACK,FOIA 14-5509,2015-08-03
1051045,F,24.83013698630137,BLACK,FOIA 14-5509,2015-08-03
1051047,F,,BLACK,FOIA 14-5509,2015-08-03
1051048,F,56.96712328767123,BLACK,FOIA 14-5509,2015-08-03
1051049,M,26.575342465753426,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1051050,M,52.62191780821918,BLACK,FOIA 14-5509,2015-08-03
1051052,M,40.326027397260276,BLACK,FOIA 14-5509,2015-08-03
1051053,F,,BLACK,FOIA 14-5509,2015-08-03
1051054,F,73.28219178082192,BLACK,FOIA 14-5509,2015-08-03
1051055,F,29.813698630136987,BLACK,FOIA 14-5509,2015-08-03
1051056,F,42.26849315068494,BLACK,FOIA 14-5509,2015-08-03
1051057,M,49.161643835616445,BLACK,FOIA 14-5509,2015-08-03
1051059,M,59.51232876712329,BLACK,FOIA 14-5509,2015-08-03
1051060,F,42.33150684931507,BLACK,FOIA 14-5509,2015-08-03
1051061,F,,UNKNOWN,FOIA 14-5509,2015-08-03
1051063,M,26.594520547945205,BLACK,FOIA 14-5509,2015-08-03
1051064,M,44.97808219178082,BLACK,FOIA 14-5509,2015-08-03
1051065,F,36.95890410958904,BLACK,FOIA 14-5509,2015-08-03
1051066,M,45.86301369863014,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1051067,M,20.73698630136986,BLACK,FOIA 14-5509,2015-08-03
1051068,M,65.59178082191781,WHITE,FOIA 14-5509,2015-08-03
1051069,M,28.27397260273973,BLACK,FOIA 14-5509,2015-08-03
1051071,M,41.610958904109594,BLACK,FOIA 14-5509,2015-08-03
1051074,F,50.9013698630137,BLACK,FOIA 14-5509,2015-08-03
1051075,F,52.52602739726028,WHITE,FOIA 14-5509,2015-08-03
1051077,F,31.904109589041095,BLACK,FOIA 14-5509,2015-08-03
1051078,F,28.843835616438355,BLACK,FOIA 14-5509,2015-08-03
1051080,M,45.4,WHITE,FOIA 14-5509,2015-08-03
1051081,M,50.88493150684932,BLACK,FOIA 14-5509,2015-08-03
1051086,M,65.75068493150685,WHITE,FOIA 14-5509,2015-08-03
1051088,M,35.13972602739726,BLACK,FOIA 14-5509,2015-08-03
1051089,F,52.88493150684932,BLACK,FOIA 14-5509,2015-08-03
1051090,M,35.57260273972603,WHITE HISPANIC,FOIA 14-5509,2015-08-03
