CRID,Witness_Gender,Witness_Age,Witness_Race,FOIA_Request_Number,Report_Produced_Date
1044096,F,38.25753424657534,WHITE,FOIA 14-5509,2015-08-03
1044099,F,55.02465753424657,BLACK,FOIA 14-5509,2015-08-03
1044100,M,52.4054794520548,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044102,M,38.53150684931507,BLACK,FOIA 14-5509,2015-08-03
1044103,F,,BLACK,FOIA 14-5509,2015-08-03
1044105,F,54.81917808219178,UNKNOWN,FOIA 14-5509,2015-08-03
1044106,M,45.90958904109589,WHITE,FOIA 14-5509,2015-08-03
1044108,M,44.93698630136986,WHITE,FOIA 14-5509,2015-08-03
1044109,F,41.726027397260275,BLACK,FOIA 14-5509,2015-08-03
1044112,F,,BLACK,FOIA 14-5509,2015-08-03
1044119,M,25.83013698630137,BLACK,FOIA 14-5509,2015-08-03
1044120,M,25.13972602739726,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044123,F,41.090410958904116,WHITE,FOIA 14-5509,2015-08-03
1044125,F,46.47671232876713,BLACK,FOIA 14-5509,2015-08-03
1044126,M,38.22191780821918,BLACK,FOIA 14-5509,2015-08-03
1044135,M,50.55068493150685,WHITE,FOIA 14-5509,2015-08-03
1044136,M,,WHITE,FOIA 14-5509,2015-08-03
1044137,F,40.630136986301366,BLACK,FOIA 14-5509,2015-08-03
1044138,F,59.16438356164384,BLACK,FOIA 14-5509,2015-08-03
1044140,F,42.95342465753424,BLACK,FOIA 14-5509,2015-08-03
1044141,M,54.61643835616438,WHITE,FOIA 14-5509,2015-08-03
1044142,M,23.556164383561647,WHITE,FOIA 14-5509,2015-08-03
1044143,F,55.035616438356165,BLACK,FOIA 14-5509,2015-08-03
1044147,M,23.561643835616437,BLACK,FOIA 14-5509,2015-08-03
1044148,M,29.21369863013699,BLACK,FOIA 14-5509,2015-08-03
1044150,M,50.74794520547945,HISPANIC,FOIA 14-5509,2015-08-03
1044150,M,49.161643835616445,BLACK,FOIA 14-5509,2015-08-03
1044155,M,46.1041095890411,BLACK,FOIA 14-5509,2015-08-03
1044158,F,44.23013698630137,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044161,M,54.849315068493155,WHITE,FOIA 14-5509,2015-08-03
1044164,F,29.627397260273973,BLACK,FOIA 14-5509,2015-08-03
1044165,F,57.84109589041096,BLACK,FOIA 14-5509,2015-08-03
1044171,M,30.24109589041096,BLACK,FOIA 14-5509,2015-08-03
1044172,M,23.07123287671233,BLACK,FOIA 14-5509,2015-08-03
1044173,M,,BLACK,FOIA 14-5509,2015-08-03
1044175,M,26.578082191780823,BLACK,FOIA 14-5509,2015-08-03
1044176,F,41.446575342465756,BLACK,FOIA 14-5509,2015-08-03
1044178,M,25.84931506849315,WHITE,FOIA 14-5509,2015-08-03
1044181,F,39.25479452054795,BLACK,FOIA 14-5509,2015-08-03
1044182,M,37.961643835616435,WHITE,FOIA 14-5509,2015-08-03
1044183,M,,BLACK,FOIA 14-5509,2015-08-03
1044192,F,,ASIAN/PACIFIC ISLANDER,FOIA 14-5509,2015-08-03
1044195,F,26.624657534246577,BLACK,FOIA 14-5509,2015-08-03
1044196,M,39.44931506849315,BLACK,FOIA 14-5509,2015-08-03
1044198,M,29.493150684931507,BLACK,FOIA 14-5509,2015-08-03
1044200,M,,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044204,F,43.44109589041096,BLACK,FOIA 14-5509,2015-08-03
1044205,M,30.983561643835614,BLACK,FOIA 14-5509,2015-08-03
1044208,F,59.63287671232877,BLACK,FOIA 14-5509,2015-08-03
1044209,M,25.2027397260274,WHITE HISPANIC,FOIA 14-5509,2015-08-03
1044211,F,51.51232876712329,BLACK,FOIA 14-5509,2015-08-03
1044214,M,23.778082191780822,BLACK,FOIA 14-5509,2015-08-03
1044215,F,42.63835616438356,BLACK,FOIA 14-5509,2015-08-03
1044216,M,53.73424657534247,BLACK,FOIA 14-5509,2015-08-03
1044217,M,49.37534246575343,BLACK,FOIA 14-5509,2015-08-03
1044220,F,44.37260273972603,BLACK,FOIA 14-5509,2015-08-03
1044221,F,41.26301369863014,WHITE,FOIA 14-5509,2015-08-03
1044224,F,45.139726027397266,BLACK,FOIA 14-5509,2015-08-03
1044225,F,45.139726027397266,BLACK,FOIA 14-5509,2015-08-03
1044227,M,34.180821917808224,BLACK,FOIA 14-5509,2015-08-03
1044228,F,48.21643835616438,BLACK,FOIA 14-5509,2015-08-03
1044229,F,45.90958904109589,WHITE,FOIA 14-5509,2015-08-03
1044230,M,32.88493150684932,BLACK,FOIA 14-5509,2015-08-03
1044234,M,57.15068493150685,WHITE,FOIA 14-5509,2015-08-03
1044236,F,45.26849315068494,BLACK,FOIA 14-5509,2015-08-03
1044241,M,45.36712328767123,BLACK,FOIA 14-5509,2015-08-03
1044245,F,46.06301369863014,BLACK,FOIA 14-5509,2015-08-03
1044246,M,51.5013698630137,BLACK,FOIA 14-5509,2015-08-03
1044248,F,41.106849315068494,BLACK,FOIA 14-5509,2015-08-03
1044249,M,41.227397260273975,WHITE,FOIA 14-5509,2015-08-03
1044250,M,31.046575342465754,BLACK,FOIA 14-5509,2015-08-03
1044252,F,35.78356164383562,BLACK,FOIA 14-5509,2015-08-03
1044253,M,63.89041095890411,WHITE,FOIA 14-5509,2015-08-03
1044254,F,51.52328767123288,BLACK,FOIA 14-5509,2015-08-03
1044258,F,,BLACK,FOIA 14-5509,2015-08-03
1044260,M,,WHITE,FOIA 14-5509,2015-08-03
1044261,M,35.326027397260276,HISPANIC,FOIA 14-5509,2015-08-03
