Officer_Last_Name,Officer_First_Name,Star,Officer_Description,FOIA_Request_Number,Report_Produced_Date
CUNNINGHAM,AARON,10758,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURPHY,BARTHOLOM,9933,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GAETA,JAIME,17317,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GREENWOOD,DAVID,15128,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BARSCH,STEVE,18287,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KRAUSHAAR,JEFFREY,14832,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CAMARILLO,ANDREW,13318,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HELSON,ERIC,13644,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WYSINGER,BERNARD,10316,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GARLINGTON,CONWAY,4553,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BURZINSKI,STEPHEN,3405,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WILLIAMS,DWAYNE,12925,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PLANICA,JOHN,15139,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DOOLIN,WILLIAM,14047,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JOHNSON,WILLIAM,20169,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KILROY,KEVIN,10398,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BOYD,STEPHEN,12598,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANDOVAL,PAUL,3927,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MENDOZA,MARIO,8843,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MENDOZA,MARIO,8843,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TULLY,MARTIN,7817,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LEE,GEROLD,15949,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BOYD,STEPHEN,12598,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MEROLA,DOMINIC,7221,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GORMAN,THOMAS,3156,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LACKO,ELIAS,11575,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEREZ,JUAN,7453,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LACKO,ELIAS,11575,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LAUBER,PAUL,6341,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KELYANA,JOHN,7717,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
O HARA,MARK,8699,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
OSHAUGHNESSY,THOMAS,19271,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURILLO,VERONICA,9631,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
UTRERAS,EDWIN,19901,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TEJADA,OSWALDO,16554,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MULDOON,MICHAEL,17658,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JOHNSON,COURTNEY,14318,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEDRAZA JR,JOSE,11765,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HACKETT,CHRIS,7447,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WOLFE,RAMA,19801,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOHAMMAD,HAYTHAM,19999,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEREZ,GERARDO,19697,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FRANO,JOHN,11772,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
REIDY,BRIAN,5896,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NYKIEL,CRAIG,18578,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DOMIO,MALCOLM,7900,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SHAAR,KHALED,9039,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LEE,GEROLD,15949,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MCHALE,BRIAN,8721,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MCGRORY,MATTHEW,9730,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SORAGHAN,PETER,7755,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HEAD,LEATRICE,13625,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SWAYZER,TIMOTHY,12615,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SHACKLETON,JAMES,16193,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GROBLA,MAREK,11686,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SHEPARD,MICHAEL,9736,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BLANDEN,JAMES,18400,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HANRAHAN,THOMAS,4780,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FERNANDEZ,JOSEPH,15792,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DAVIS,TIAWANSA,19963,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GROBNER,DARREN,8024,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BERAN,TIMOTHY,19651,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BAKER,MICHAEL,13052,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FARY,TIMOTHY,3268,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GREGOIRE,JOHN,8600,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BLACKBURN,DARRION,4632,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KELNOSKY,STEVEN,10972,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BUCKNER,NYERE,16461,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PELLERANO,RICHARD,19165,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GALLARDO,SAUL,13481,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BOUCH,MATTHEW,10723,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GRABER,DENNIS,7649,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ADAMIAK,SIMON,4731,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CORTES,JOSE,18443,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURPHY,JOHN,2040,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SZNURA,PAUL,18899,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STANULA,KEVIN,14469,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ALANIZ,MICHAEL,13577,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VO,KELLY,18574,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ANTONSEN,RICHARD,19692,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LAUBER,PAUL,6341,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANDOVAL,PAUL,3927,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROSE IV,ADAM,7377,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JOHNSON,WILLIAM,20169,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
COLBENSON,DANIEL,16857,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GARZA,RUDOLPH,8667,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GAMEZ,ISRAEL,15210,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ZAVALA,WENSESLAO,8928,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
OHLICHER,JON,9595,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOORE JR,LOUIS,5491,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
METTE,MICHAEL,2725,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CRISP,JERRY,12580,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SURVILLION,ALLEN,8897,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FORD,BRYAN,17039,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WEATHERLY,BOBBY,11400,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STILES,LAURENCE,15304,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WADE,MARCUS,6360,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEARSON,DEL,6254,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FARY,TIMOTHY,3268,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SOLIS JR.,PEDRO,7154,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CRAVENS,DANIEL,4656,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RAINES,THOMAS,8384,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FAHEY JR,PATRICK,9544,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GROSS,FRED,8953,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
THORNTON JR,JOHN,12921,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SCUDELLA,ANDREW,16384,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MORGAN,NOEL,8714,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GAINES,MICHAEL,6030,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LEAHY,BRIAN,13624,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GLAZEWSKI,JOHN,16011,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ORKOWSKI,JAYSEN,2831,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TORRES,ROMAN,18424,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BABICZ,ANTHONY,12652,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WHITE,NICHOLAS,8577,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FOSTER,MARK,16968,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
OLIVER,MELVIN,14577,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LECLAIR,RYAN,13565,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
STEVENS,PETER,11114,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VASSELLI,EMMA,14085,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PORTIS,VICTOR,17290,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GALLAGHER,JAMES,13669,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MARTINEZ,JAIR,17046,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
YUSUF,MOHAMMAD,15109,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
OCONNOR,MICHAEL,8342,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TORRES JR,AGUSTIN,13901,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LEE,DURAND,18858,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LANDRUM,JASON,17355,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CARO,RICHARD,5368,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PATTERSON,ALFIE,9206,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PEREZ,JASON,17714,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CHESNA,JAMIE,11881,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WAHRER,DANIELLE,13454,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LOPEZ,ANGEILLY,2768,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MUELLER,TODD,15562,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FIGUEROA,EDDIE,17241,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PUCILLO,ROBERT,16850,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BARR,KREIGHTON,13742,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PRYOR,CARLENA,14799,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HICKS,ERROL,17902,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GRUBE,PATRICK,9725,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PERDUE,DENNY,14093,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DERCOLA,MATT,15740,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KAZARNOWICZ,MARCIN,9003,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SCHMID,STEVE,3625,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
KEY,MICHAEL,8813,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RENDON JR,ARNOLDO,7148,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JAGLARSKI,STEVEN,11175,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SAVICKAS,CHRIST,5991,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SCHERR,HEATHER,8856,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MC NAUGHTON,MARTIN,19463,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WATSON,DAVID,5899,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
POL,PETER,11906,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANTIAGO,CHISA,11909,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ORTIZ,PEDRO,15608,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
IZA,FRANCISCO,12649,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROBINSON,THOMAS,16146,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CARDENAS,JUAN,17637,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BELCIK,TIMOTHY,5740,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DIBLICH,MATTHEW,6643,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HOMER,JUSTIN,10979,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANCHEZ,RUBEN,11256,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PRUGER,ROCCO,15445,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BARTEL,JEFF,14367,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
BORYS,PAWEL,11551,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANTIAGO,ANTHONY,14615,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ESCOBEDO,LUIS,11877,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LASKUS,DAVID,7458,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SHRAKE,MICHAEL,15345,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RIVERA,RICKY,6396,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PAYNE,LEON,18235,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DESAI,RISHI,10409,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
VAUGHAN,LESTER,17244,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CABRALES,JUAN,16858,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CARROLL,STEVEN,12236,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WALTER,SAJIT,11288,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MURPHY,BRANDON,10545,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ARCHER,STEVEN,19735,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROMERO,MIGUEL,13879,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MCKENDRY,KEVIN,11564,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FORD,ARTHELIA,16176,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TURNER,DEJUAN,10726,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PROANO,MARCO,9477,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RAZO,VICTOR,3424,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CIFUENTES,JUAN,13089,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
FRIEDLIEB,JEFFREY,5338,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JOHNSON,MATTHEW,14518,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
EVANS,TODD,8234,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GARCIA,ADOLPHO,7282,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TERNAND,BRANDON,2717,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WELLS,OTIS,5385,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ROSE IV,ADAM,7377,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PATEL,NIMESH,7354,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RAMIREZ,VERONICA,7170,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
GOLDIE,RYAN,10478,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
RAMOS,FRANCIS,17113,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HUSIC,ESNAF,10408,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MORRIS,LASHON,3974,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
ALI,MOHAMMED,7241,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
JANKOWSKI,RICHARD,5965,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
HELSEL,JOHN,9652,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
QUADRI,SYED,11619,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DEL OLMO,EDGAR,9653,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
PASSARELLI,DANIEL,11574,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
TUTTLE,KEVIN,10819,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MOSQUEDA,RAOUL,13662,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NAJM,SEAN,5088,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
SANTIAGO,JOHNNY,11003,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
CASALES JR,RAUL,7229,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DAVIS,TIMOTHY,8688,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
DIALLO,SALIOU,9105,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
LUEVANO,FRANCISCO,9405,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MEEKS,TIFFANY,8051,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
MATYSIAK,ZUZANNA,6353,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WRIGHT,MARCHAND,3164,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
WILLIAMS,TRACEY,4947,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
NAVARRO,ALVARO,19209,POLICE OFFICER,"FOIA 17-6588
Stars for Involved Members on Spreadsheet 20A - Involved Members",
