,Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
442,1053776,F,46.3342465753425,BLACK
445,1053777,F,52.0109589041096,BLACK
448,1053780,M,53.4164383561644,BLACK
451,1053781,F,29.5424657534247,BLACK
454,1053782,M,48.7342465753425,BLACK
457,1053783,M,47.5068493150685,BLACK
460,1053785,M,64.5369863013699,WHITE
463,1053788,F,37.7452054794521,BLACK
466,1053791,F,57.2876712328767,HISPANIC
469,1053792,F,26.2630136986301,WHITE HISPANIC
472,1053793,F,48.2109589041096,WHITE
475,1053794,F,29.3643835616438,BLACK
478,1053798,F,26.9205479452055,BLACK
481,1053799,M,53.4,BLACK
484,1053800,F,50.1671232876712,BLACK
487,1053801,F,41.7808219178082,BLACK
490,1053804,M,26.1835616438356,WHITE
493,1053808,M,64.5369863013699,WHITE
496,1053815,M,30.8712328767123,BLACK
499,1053816,F,143.717808219178,BLACK
502,1053820,M,31.172602739726,WHITE
505,1053821,M,44.9506849315068,HISPANIC
508,1053822,M,25.4493150684932,BLACK
511,1053823,M,78.0712328767123,BLACK
514,1053824,F,50.7260273972603,BLACK
517,1053826,M,35.1150684931507,WHITE
520,1053828,F,59.958904109589,WHITE
523,1053830,M,42.958904109589,BLACK
526,1053832,F,33.1178082191781,BLACK
529,1053833,M,39.6767123287671,WHITE HISPANIC
532,1053835,F,67.2054794520548,BLACK
535,1053837,M,24.0821917808219,WHITE
538,1053839,F,,UNKNOWN
541,1053842,F,37.3808219178082,BLACK
544,1053843,F,,BLACK
547,1053844,M,53.0958904109589,BLACK
550,1053846,F,24.6876712328767,BLACK
553,1053847,F,33.2191780821918,BLACK
556,1053849,M,38.9479452054794,WHITE
559,1053852,M,,BLACK
562,1053855,F,33.5972602739726,BLACK
565,1053857,M,46.945205479452,BLACK
568,1053858,M,27.9452054794521,BLACK
571,1053860,M,26.7753424657534,ASIAN/PACIFIC ISLANDER
574,1053863,M,42.8246575342466,BLACK
577,1053866,F,43.9424657534247,BLACK
580,1053868,M,,ASIAN/PACIFIC ISLANDER
583,1053869,M,68.3643835616438,WHITE
586,1053870,F,40.6684931506849,UNKNOWN
589,1053874,M,32.5753424657534,BLACK
592,1053876,M,30.9013698630137,BLACK
595,1053878,F,,BLACK
598,1053879,M,,BLACK
601,1053880,F,26.4,BLACK
604,1053881,M,54.3232876712329,BLACK
607,1053882,M,23.4493150684932,BLACK
610,1053884,F,49.2931506849315,BLACK
613,1053885,M,27.7890410958904,BLACK
616,1053889,F,37.9890410958904,BLACK
619,1053890,M,27.0191780821918,WHITE HISPANIC
622,1053891,M,27.1835616438356,BLACK
625,1053892,F,35.8164383561644,BLACK
628,1053893,F,45.0876712328767,BLACK
631,1053894,F,39.7643835616438,BLACK
634,1053896,M,,WHITE
637,1053898,F,28.0,BLACK
640,1053899,M,29.9753424657534,BLACK
643,1053901,M,43.7315068493151,ASIAN/PACIFIC ISLANDER
646,1053902,F,42.5671232876712,BLACK
649,1053903,M,23.8493150684932,BLACK
652,1053906,F,,WHITE HISPANIC
655,1053907,M,34.8876712328767,WHITE HISPANIC
658,1053908,M,25.3424657534247,BLACK
661,1053909,M,36.1260273972603,BLACK
664,1053912,M,34.1068493150685,BLACK
667,1053913,M,32.9835616438356,BLACK
670,1053915,F,53.8109589041096,BLACK
673,1053916,F,36.1095890410959,BLACK
676,1053917,F,28.2438356164384,BLACK
679,1053918,M,25.4191780821918,WHITE
682,1053921,M,55.6712328767123,WHITE
685,1053922,M,84.1671232876712,UNKNOWN
688,1053924,M,37.786301369863,BLACK
691,1053926,M,24.1150684931507,BLACK
694,1053927,F,50.4684931506849,WHITE
697,1053929,M,58.7452054794521,BLACK
700,1053930,M,,BLACK
703,1053932,F,42.4575342465753,BLACK
706,1053933,F,41.8301369863014,BLACK
709,1053935,M,35.2465753424658,BLACK
712,1053937,M,,WHITE HISPANIC
715,1053939,F,33.8712328767123,BLACK
718,1053940,M,54.8383561643836,WHITE
721,1053941,M,32.9972602739726,BLACK
724,1053942,F,71.7013698630137,BLACK
727,1053943,M,24.358904109589,BLACK
730,1053944,F,35.2986301369863,BLACK
733,1053945,M,,WHITE HISPANIC
736,1053947,M,43.4328767123288,BLACK
739,1053948,F,38.7506849315068,WHITE HISPANIC
742,1053950,F,59.5342465753425,WHITE
745,1053951,M,30.4438356164384,BLACK
748,1053953,F,47.5698630136986,WHITE
751,1053954,F,48.0164383561644,BLACK
754,1053955,M,34.8876712328767,WHITE HISPANIC
757,1053956,M,43.1972602739726,BLACK
760,1053957,F,36.0821917808219,BLACK
763,1053959,M,39.1095890410959,BLACK
766,1053960,F,23.9095890410959,BLACK
769,1053964,F,39.8493150684932,BLACK
772,1053967,M,39.9315068493151,BLACK
775,1053968,M,,WHITE HISPANIC
776,1053968,M,21.3041095890411,WHITE HISPANIC
779,1053969,M,45.1945205479452,BLACK
782,1053971,F,38.3780821917808,WHITE
785,1053973,F,37.8164383561644,BLACK
788,1053975,F,51.0767123287671,BLACK
791,1053976,F,25.9369863013699,BLACK
794,1053978,F,51.5753424657534,AMER IND/ALASKAN NATIVE
797,1053980,F,53.6575342465754,WHITE
800,1053981,M,45.1890410958904,BLACK
803,1053982,M,48.558904109589,BLACK
806,1053984,M,45.7534246575342,BLACK
809,1053985,M,51.3068493150685,WHITE
812,1053986,F,45.3945205479452,BLACK
815,1053989,F,52.5232876712329,WHITE
818,1053990,M,31.813698630137,BLACK
821,1053991,F,28.6958904109589,BLACK
824,1053992,M,28.9178082191781,BLACK
827,1053993,F,27.0246575342466,BLACK
830,1053994,M,31.9013698630137,BLACK
833,1053996,M,48.7561643835616,WHITE HISPANIC
836,1053997,M,53.1506849315069,WHITE
839,1054001,M,34.9917808219178,BLACK
842,1054006,F,52.4082191780822,WHITE
845,1054007,M,26.5671232876712,BLACK
848,1054008,M,22.2493150684932,BLACK
851,1054009,M,32.3561643835616,BLACK
854,1054010,M,52.3178082191781,WHITE
857,1054011,F,,BLACK
860,1054013,M,46.7698630136986,BLACK
863,1054015,F,23.1369863013699,WHITE HISPANIC
866,1054016,M,,WHITE
869,1054017,M,,BLACK
872,1054023,F,42.0849315068493,BLACK
875,1054024,M,69.3945205479452,WHITE HISPANIC
878,1054025,M,,BLACK
881,1054026,F,,ASIAN/PACIFIC ISLANDER
884,1054028,M,,BLACK
887,1054030,M,35.4876712328767,BLACK
890,1054033,M,29.0986301369863,WHITE HISPANIC
893,1054035,F,61.1835616438356,BLACK
896,1054036,F,41.5616438356164,BLACK
899,1054037,M,32.7123287671233,UNKNOWN
902,1054038,F,34.8684931506849,BLACK
905,1054039,M,53.1369863013699,BLACK
908,1054040,F,32.7232876712329,UNKNOWN
911,1054041,F,50.3643835616438,BLACK
914,1054043,M,49.8904109589041,WHITE HISPANIC
917,1054044,F,42.3643835616438,BLACK
920,1054045,M,29.4383561643836,BLACK
923,1054047,F,52.3945205479452,WHITE HISPANIC
926,1054048,M,33.8,WHITE HISPANIC
929,1054050,M,48.558904109589,BLACK
932,1054051,M,28.8876712328767,BLACK
935,1054052,M,35.8630136986301,WHITE HISPANIC
938,1054053,M,66.3232876712329,BLACK
941,1054057,M,60.6876712328767,WHITE HISPANIC
944,1054062,F,,BLACK
947,1054063,F,33.2356164383562,BLACK
950,1054064,F,,BLACK
951,1054064,M,,BLACK
954,1054067,M,47.8027397260274,BLACK
957,1054070,M,,UNKNOWN
960,1054071,M,57.3506849315069,UNKNOWN
963,1054072,F,59.9506849315068,BLACK
966,1054073,M,44.0931506849315,BLACK
969,1054075,F,936.032876712329,WHITE
972,1054077,M,30.1835616438356,BLACK
975,1054078,M,63.3534246575342,BLACK
978,1054079,F,38.441095890411,WHITE HISPANIC
981,1054080,F,,WHITE
984,1054081,F,37.9561643835616,WHITE
987,1054083,F,37.0712328767123,BLACK
990,1054086,M,45.8328767123288,WHITE
993,1054087,F,33.2356164383562,BLACK
996,1054093,M,39.4712328767123,BLACK
999,1054094,F,26.7315068493151,BLACK
1002,1054098,F,47.5698630136986,WHITE
1005,1054102,F,60.6301369863014,BLACK
1008,1054111,M,26.5890410958904,BLACK
1011,1054114,F,38.7972602739726,BLACK
1014,1054115,M,47.2684931506849,WHITE
1017,1054116,M,25.7671232876712,BLACK
1020,1054120,F,26.4054794520548,WHITE
1023,1054121,M,31.1150684931507,BLACK
1026,1054123,F,38.7315068493151,BLACK
1029,1054125,F,72.7232876712329,BLACK
1032,1054127,F,28.0027397260274,BLACK
1035,1054129,M,39.6849315068493,BLACK
1038,1054130,F,24.041095890411,WHITE HISPANIC
1041,1054133,M,41.5972602739726,BLACK
1044,1054138,M,32.2575342465753,WHITE HISPANIC
1047,1054139,M,26.4246575342466,UNKNOWN
1050,1054140,F,47.5698630136986,WHITE
1053,1054141,M,57.6520547945206,BLACK
1056,1054145,M,27.7205479452055,UNKNOWN
1059,1054146,M,25.0465753424658,WHITE
1062,1054148,F,36.4328767123288,BLACK
1065,1054149,M,34.6602739726027,WHITE HISPANIC
1068,1054152,M,53.6712328767123,BLACK
1071,1054153,M,42.2821917808219,BLACK
1074,1054154,M,24.1095890410959,BLACK
1077,1054157,M,25.9506849315068,WHITE
1080,1054158,M,47.4657534246575,BLACK
1083,1054159,M,30.1835616438356,BLACK
1086,1054161,M,33.6191780821918,WHITE
1089,1054162,M,51.5643835616438,BLACK
1092,1054164,F,27.4246575342466,BLACK
1095,1054166,F,22.9945205479452,BLACK
1098,1054168,M,46.413698630137,ASIAN/PACIFIC ISLANDER
1101,1054169,F,47.5698630136986,WHITE
1104,1054170,M,26.4054794520548,BLACK
1107,1054171,M,41.0767123287671,UNKNOWN
1108,1054171,M,23.9616438356164,UNKNOWN
1111,1054177,M,65.5616438356164,WHITE
1114,1054178,M,,UNKNOWN
1117,1054181,F,27.5424657534247,WHITE HISPANIC
1120,1054182,F,54.2958904109589,WHITE HISPANIC
1123,1054183,F,29.9671232876712,BLACK
1126,1054186,M,28.1150684931507,BLACK
1129,1054187,M,38.3945205479452,BLACK
1132,1054188,F,51.8876712328767,WHITE HISPANIC
1135,1054189,F,39.7917808219178,BLACK
1138,1054190,F,33.8219178082192,BLACK
1141,1054192,M,26.9808219178082,HISPANIC
1144,1054194,M,56.0054794520548,BLACK
1147,1054196,M,31.8657534246575,BLACK
1150,1054197,F,54.2712328767123,WHITE
1153,1054198,F,43.7890410958904,BLACK
1156,1054199,M,52.2465753424658,BLACK
1159,1054200,M,48.0054794520548,BLACK
1162,1054201,F,38.5315068493151,BLACK
1165,1054202,F,39.4630136986301,WHITE HISPANIC
1168,1054203,F,62.5095890410959,BLACK
1171,1054205,M,35.8739726027397,WHITE
1174,1054206,M,31.9835616438356,BLACK
1177,1054207,F,30.1424657534247,WHITE
1180,1054208,M,40.0931506849315,WHITE
1183,1054210,F,28.3232876712329,UNKNOWN
1186,1054214,M,69.0246575342466,ASIAN/PACIFIC ISLANDER
1189,1054217,F,51.9753424657534,BLACK
1192,1054222,M,45.0657534246575,WHITE
1195,1054223,F,53.3945205479452,BLACK
1198,1054224,M,35.8438356164384,BLACK
1201,1054225,F,44.2301369863014,BLACK
1204,1054226,M,26.5068493150685,BLACK
1207,1054227,F,,UNKNOWN
1210,1054231,M,43.5397260273973,BLACK
1213,1054234,M,37.5123287671233,BLACK
1216,1054235,M,34.1972602739726,BLACK
1219,1054236,F,64.0,BLACK
1222,1054237,M,,WHITE HISPANIC
1225,1054238,M,35.427397260274,BLACK
1228,1054241,F,23.1205479452055,BLACK
1231,1054242,M,-952.953424657534,BLACK
1234,1054243,F,35.3972602739726,WHITE HISPANIC
1237,1054245,F,58.5260273972603,BLACK
1240,1054247,M,51.8958904109589,BLACK
1243,1054249,F,33.772602739726,BLACK
1246,1054250,F,,UNKNOWN
1249,1054253,M,39.1479452054795,BLACK
1252,1054254,M,68.5123287671233,UNKNOWN
1255,1054258,M,23.3424657534247,BLACK
1258,1054259,F,61.7205479452055,WHITE HISPANIC
1261,1054262,M,38.2246575342466,WHITE
1264,1054263,M,43.1178082191781,UNKNOWN
1267,1054265,F,37.1917808219178,BLACK
1270,1054267,M,55.372602739726,BLACK
1273,1054268,F,89.9232876712329,BLACK
1276,1054270,M,,BLACK
1279,1054273,F,56.3013698630137,BLACK
1282,1054276,M,29.4328767123288,BLACK
1285,1054288,F,57.8849315068493,WHITE
1286,1054288,F,,BLACK
1289,1054292,M,62.6739726027397,WHITE HISPANIC
1292,1054293,F,39.7095890410959,BLACK
1295,1054294,F,49.1452054794521,WHITE HISPANIC
1298,1054295,F,41.2575342465753,BLACK
1301,1054297,M,64.9397260273973,BLACK
1304,1054298,M,,BLACK
1307,1054302,F,23.8520547945205,BLACK
1310,1054303,M,43.9260273972603,BLACK
1313,1054305,F,64.0931506849315,WHITE
