,CRID,Gender,Age,Race
11188,1018149,FEMALE,30.55342465753425,WHITE
11189,1018150,MALE,37.652054794520545,BLACK
11190,1018151,FEMALE,56.96986301369864,BLACK
11191,1018152,MALE,64.13972602739726,WHITE
11192,1018153,FEMALE,55.2986301369863,WHITE
11193,1018156,MALE,45.39452054794521,BLACK
11194,1018157,FEMALE,33.010958904109586,BLACK
11195,1018158,FEMALE,55.08767123287671,BLACK
11196,1018159,FEMALE,43.77260273972602,BLACK
11197,1018161,FEMALE,40.98630136986301,BLACK
11198,1018162,FEMALE,53.871232876712334,BLACK
11199,1018163,MALE,28.85753424657534,HISPANIC
11200,1018165,FEMALE,27.30410958904109,BLACK
11201,1018166,MALE,46.320547945205476,BLACK
11202,1018168,FEMALE,51.76438356164383,BLACK
11203,1018172,MALE,58.39178082191781,WHITE
11204,1018172,MALE,58.23013698630137,WHITE
11205,1018174,FEMALE,35.63287671232877,HISPANIC
11206,1018176,MALE,38.41643835616439,BLACK
11207,1018177,FEMALE,51.7013698630137,HISPANIC
11208,1018181,FEMALE,60.33972602739726,BLACK
11209,1018182,MALE,43.158904109589045,BLACK
11210,1018183,FEMALE,41.15890410958904,BLACK
11211,1018185,FEMALE,34.87945205479452,UNKNOWN
11212,1018186,MALE,60.09315068493151,BLACK
11213,1018190,MALE,33.936986301369856,BLACK
11214,1018191,MALE,32.0958904109589,HISPANIC
11215,1018194,MALE,32.53150684931507,BLACK
11216,1018195,FEMALE,65.71780821917808,BLACK
11217,1018196,FEMALE,40.55616438356165,BLACK
11218,1018197,MALE,51.8,BLACK
11219,1018200,MALE,40.24383561643835,BLACK
11220,1018201,FEMALE,71.90958904109587,BLACK
11221,1018202,FEMALE,51.27123287671233,BLACK
11222,1018204,FEMALE,45.54520547945205,BLACK
11223,1018205,FEMALE,38.15890410958904,HISPANIC
11224,1018206,FEMALE,44.72328767123288,BLACK
11225,1018208,FEMALE,33.83835616438356,WHITE
11226,1018209,FEMALE,46.115068493150694,BLACK
11227,1018211,MALE,58.08767123287671,BLACK
11228,1018212,MALE,27.75342465753425,BLACK
11229,1018213,MALE,39.30958904109589,BLACK
11230,1018214,MALE,44.476712328767135,BLACK
11231,1018216,FEMALE,40.63287671232877,BLACK
11232,1018217,FEMALE,37.063013698630144,BLACK
11233,1018218,MALE,8.772602739726027,BLACK
11234,1018219,MALE,75.72602739726028,BLACK
11235,1018221,FEMALE,55.750684931506854,HISPANIC
11236,1018222,MALE,64.26575342465753,BLACK
11237,1018223,MALE,49.38082191780822,BLACK
11238,1018224,FEMALE,57.34794520547946,WHITE
11239,1018225,MALE,47.509589041095886,BLACK
11240,1018226,FEMALE,33.98630136986301,BLACK
11241,1018231,MALE,43.08767123287671,WHITE
