crid,gender,age,race
1000279,M,30,BLACK
1000280,M,45,WHITE
1000281,M,43,BLACK
1000282,M,36,BLACK
1000283,M,70,WHITE
1000285,M,33,BLACK
1000287,F,41,WHITE HISPANIC
1000291,F,47,WHITE
1000292,M,43,BLACK
1000293,F,53,BLACK
1000294,F,51,ASIAN/PACIFIC ISLANDER
1000295,M,NA,WHITE
1000296,M,29,BLACK
1000297,F,60,WHITE
1000298,F,45,BLACK
1000299,M,NA,BLACK
1000300,M,49,BLACK
1000301,M,50,WHITE
1000302,M,NA,WHITE
1000303,F,71,BLACK
1000305,M,47,WHITE
1000307,M,55,BLACK
1000308,F,39,WHITE
1000310,F,40,BLACK
1000311,F,NA,BLACK
1000312,M,54,WHITE
1000313,M,33,WHITE
1000314,F,NA,UNKNOWN
1000316,F,57,WHITE HISPANIC
1000317,M,43,WHITE
1000319,M,56,WHITE
1000320,M,50,HISPANIC
1000320,M,NA,WHITE
1000320,M,NA,WHITE
1000320,F,NA,WHITE
1000321,F,NA,WHITE HISPANIC
1000322,F,43,BLACK
1000323,F,38,BLACK
1000324,M,34,BLACK
1000326,M,34,WHITE HISPANIC
1000327,F,68,WHITE
1000328,F,56,UNKNOWN
1000329,M,28,BLACK
1000331,F,37,WHITE HISPANIC
1000331,M,38,WHITE HISPANIC
1000333,F,40,WHITE HISPANIC
1000335,M,37,WHITE
1000336,F,46,WHITE HISPANIC
1000339,M,33,BLACK
1000344,M,35,WHITE HISPANIC
1000345,M,60,BLACK
1000348,F,48,WHITE
1000350,F,NA,BLACK
1000351,M,44,WHITE
1000352,F,47,BLACK
1000353,M,NA,BLACK
1000354,F,49,WHITE
1000355,F,NA,BLACK
1000356,F,54,BLACK
1000357,F,56,BLACK
1000358,F,42,BLACK
1000359,M,34,BLACK HISPANIC
1000361,M,43,BLACK
1000362,F,NA,BLACK
1000362,M,56,BLACK
1000363,M,39,BLACK
1000364,M,60,WHITE
1000365,M,47,BLACK
1000366,F,59,BLACK
1000367,F,70,BLACK
1000368,F,NA,BLACK
1000369,F,40,BLACK
1000370,F,54,BLACK
1000370,F,31,BLACK
1000371,M,51,BLACK
1000372,F,NA,WHITE HISPANIC
1000373,F,NA,ASIAN/PACIFIC ISLANDER
1000374,F,NA,BLACK
1000376,M,50,BLACK
1000377,M,29,WHITE
1000378,F,52,WHITE
1000379,F,46,BLACK
1000380,F,45,BLACK
1000381,F,54,BLACK
1000382,F,42,BLACK
1000382,F,NA,BLACK
1000384,M,37,BLACK
1000385,F,38,WHITE HISPANIC
1000386,F,NA,UNKNOWN
1000387,M,NA,BLACK
1000388,M,53,BLACK
1000389,M,49,BLACK
1000392,M,47,BLACK
1000393,F,37,WHITE HISPANIC
1000394,F,44,BLACK
1000395,F,49,UNKNOWN
1000397,F,38,BLACK
1000398,M,31,BLACK
1000399,F,45,BLACK
1000401,F,37,BLACK
1000402,F,42,BLACK
1000403,M,NA,BLACK
1000404,M,44,WHITE HISPANIC
1000405,M,41,BLACK
1000406,F,68,BLACK
1000407,M,43,BLACK
1000408,F,NA,UNKNOWN
1000409,F,43,BLACK
1000412,F,49,BLACK
1000414,M,63,BLACK
1000416,M,NA,UNKNOWN
1000417,M,35,BLACK
1000420,F,45,WHITE
1000422,M,67,WHITE
1000424,M,36,BLACK
1000426,M,41,BLACK
1000427,M,46,BLACK
1000428,F,38,BLACK
1000431,M,59,BLACK
1000432,M,68,WHITE
1000434,F,69,HISPANIC
1000435,M,60,WHITE
1000435,M,57,BLACK
1000436,F,54,BLACK
1000436,F,52,WHITE
1000437,M,55,BLACK
1000440,F,51,BLACK
1000441,F,44,BLACK
1000442,M,56,WHITE
1000443,M,NA,BLACK
1000446,M,64,BLACK
1000447,M,32,BLACK
1000448,M,64,BLACK
1000449,M,45,BLACK
1000450,M,32,BLACK
1000451,F,78,BLACK
1000452,F,29,BLACK
1000454,M,34,ASIAN/PACIFIC ISLANDER
1000455,F,NA,BLACK
1000458,M,53,BLACK
1000461,M,53,WHITE
1000462,F,NA,WHITE
1000462,M,32,WHITE
1000464,F,59,BLACK
1000467,F,49,BLACK
1000468,F,56,BLACK
1000469,M,43,HISPANIC
1000473,F,NA,WHITE
1000474,F,36,BLACK
1000475,M,39,BLACK
1000476,M,49,BLACK
