Original_Dataset,Output_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
../input/FOIA Updated CPD Data -2013-2017.xls-2017,salary.csv,SPP.Date,9923,266,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2017,salary.csv,Org.Hire.Date,12267,599,datetime64[ns]
../input/FOIA Updated CPD Data -2013-2017.xls-2017,salary.csv,Salary,12267,50,float64
../input/FOIA Updated CPD Data -2013-2017.xls-2017,salary.csv,Pay.Grade,12267,13,object
../input/FOIA Updated CPD Data -2013-2017.xls-2017,salary.csv,Employee.Status,12267,5,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Last.Name,13480,7246,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,First.Name,13480,2209,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Middle.Initial,10949,27,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Gender,13480,2,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Age.at.Hire,13100,50,float64
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Title,13480,39,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Start.Date,13100,519,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,SPP.Date,10240,433,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Org.Hire.Date,13468,1096,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Salary,13480,42,int64
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Pay.Grade,13480,20,object
../input/FOIA Updated CPD Data-2002-2007.xls-2002,salary.csv,Employee.Status,13480,4,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Last.Name,14360,7428,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,First.Name,14360,2268,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Middle.Initial,11668,27,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Gender,14360,2,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Age.at.Hire,13975,50,float64
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Title,14360,39,object
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,Start.Date,13975,523,datetime64[ns]
../input/FOIA Updated CPD Data-2002-2007.xls-2003,salary.csv,SPP.Date,10949,455,datetime64[ns]
