CRID,Gender,Age,Race
1000218,F,36.16712328767123,WHITE HISPANIC
1000220,M,53.13698630136986,WHITE HISPANIC
1000221,M,75.43561643835616,BLACK
1000222,F,43.45479452054795,ASIAN/PACIFIC ISLANDER
1000224,F,40.706849315068496,BLACK
1000225,F,42.12876712328767,BLACK
1000227,M,53.12602739726028,WHITE
1000230,F,44.88493150684931,BLACK
1000231,F,64.12602739726027,BLACK
1000233,M,46.04657534246576,BLACK
1000235,M,48.67945205479452,BLACK
1000239,F,48.36164383561644,BLACK
1000241,M,48.28767123287671,BLACK
1000242,F,50.178082191780824,BLACK
1000244,F,55.35342465753424,BLACK
1000247,F,33.27945205479452,BLACK
1000248,F,35.04931506849315,BLACK
1000249,F,67.30136986301369,BLACK
1000251,M,35.394520547945206,BLACK
1000252,M,54.7041095890411,BLACK
1000253,M,38.3013698630137,BLACK
1000254,F,42.97260273972603,BLACK
1000255,F,45.556164383561644,BLACK
1000256,F,42.04383561643836,WHITE
1000257,F,41.561643835616444,WHITE HISPANIC
1000258,M,51.419178082191785,WHITE
1000259,M,51.45753424657534,WHITE
1000260,F,48.276712328767125,BLACK
1000263,F,61.30684931506849,BLACK
1000264,F,49.02465753424657,WHITE HISPANIC
1000265,M,42.673972602739724,BLACK
1000266,F,39.6,BLACK
1000268,F,84.43287671232876,BLACK
1000269,M,41.893150684931506,BLACK
1000270,M,62.32054794520548,WHITE
1000271,M,27.934246575342467,BLACK
1000272,M,30.5972602739726,WHITE HISPANIC
1000272,M,39.512328767123286,WHITE HISPANIC
1000274,F,43.8027397260274,BLACK
1000275,F,43.153424657534245,BLACK
1000276,M,63.460273972602735,WHITE
1000277,F,59.323287671232876,HISPANIC
1000278,F,37.88767123287671,HISPANIC
1000279,M,29.69041095890411,BLACK
1000280,M,45.43561643835616,WHITE
1000281,M,43.39178082191781,BLACK
1000282,M,35.654794520547945,BLACK
1000283,M,69.98630136986301,WHITE
1000285,M,33.4,BLACK
1000287,F,41.32054794520548,WHITE HISPANIC
1000291,F,46.827397260273976,WHITE
1000292,M,43.36164383561644,BLACK
1000293,F,53.035616438356165,BLACK
1000294,F,51.394520547945206,ASIAN/PACIFIC ISLANDER
1000296,M,28.767123287671232,BLACK
1000297,F,59.51232876712329,WHITE
1000298,F,44.947945205479456,BLACK
1000300,M,48.59726027397261,BLACK
1000301,M,49.71232876712329,WHITE
1000303,F,70.61917808219178,BLACK
1000305,M,46.94520547945205,WHITE
1000307,M,54.67945205479452,BLACK
1000308,F,38.92328767123288,WHITE
1000310,F,39.64383561643835,BLACK
1000312,M,54.156164383561645,WHITE
1000313,M,32.90958904109589,WHITE
1000316,F,56.92054794520548,WHITE HISPANIC
1000317,M,42.610958904109594,WHITE
1000319,M,56.31506849315068,WHITE
1000320,M,50.43287671232877,HISPANIC
1000322,F,42.82465753424657,BLACK
1000323,F,38.30684931506849,BLACK
1000324,M,33.52876712328767,BLACK
1000326,M,34.12054794520548,WHITE HISPANIC
1000327,F,67.89315068493151,WHITE
1000328,F,56.00273972602739,UNKNOWN
1000329,M,28.293150684931508,BLACK
1000331,F,36.6,WHITE HISPANIC
1000331,M,38.054794520547944,WHITE HISPANIC
1000333,F,39.534246575342465,WHITE HISPANIC
1000335,M,36.61095890410959,WHITE
1000336,F,46.25205479452055,WHITE HISPANIC
1000339,M,33.19178082191781,BLACK
1000344,M,34.898630136986306,WHITE HISPANIC
1000345,M,60.43287671232877,BLACK
1000348,F,47.50684931506849,WHITE
