CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
18A,5655,HERNANDEZ,ROBERT,POLICE OFFICER
18A,12544,WILLIAMS,BENNY,POLICE OFFICER
18A,5255,WOODS,STEPHEN,POLICE OFFICER
18A,13858,RANGEL,ELI,POLICE OFFICER
18A,8042,MACIAS,VINCE,POLICE OFFICER
18A,9942,FARIAS,ROGER,POLICE OFFICER
18A,3210,BELMONTES,JUAN,POLICE OFFICER
18A,17673,ABDALLAH,ZAID,POLICE OFFICER
18A,17625,COTTON,ALEXIS,POLICE OFFICER
18A,14637,WAGNER,MICHAEL,POLICE OFFICER
18A,16787,KASPER,CASEY,POLICE OFFICER
18A,11974,SABELLA,ANTHONY,POLICE OFFICER
18A,16733,BRUNO,BRENDAN,POLICE OFFICER
18A,10669,JONES,CALVIN,POLICE OFFICER
18A,14991,RAMEY,CHRISTOPHER,POLICE OFFICER
18A,16503,DAVIS,CORNELIUS,POLICE OFFICER
18A,11641,SEHNER,ERIC,POLICE OFFICER
18A,11682,DAVIDSON,ZACHARY,POLICE OFFICER
18A,9258,CUTRONE,ANTHONY,POLICE OFFICER
18A,11442,HUNT,JAMES,POLICE OFFICER
18A,20701,STOLL,KEVIN,PO AS DETECTIVE
18A,21242,TENTON,CHRISTOPH,PO AS DETECTIVE
18A,20756,DINEEN,THOMAS,PO AS DETECTIVE
18A,21212,TROCHE,RANDY,PO AS DETECTIVE
18A,20598,HEERDT,EDWARD,PO AS DETECTIVE
18A,20082,BUSH,GARY,PO AS DETECTIVE
18A,20518,ROSS,CHRISTOPH,PO AS DETECTIVE
18A,21586,SMITH,AMANDA,PO AS DETECTIVE
18A,2164,RHEIN,CHARLES,SERGEANT OF POLICE
18A,809,LOPEZ,JOSE,SERGEANT OF POLICE
18A,1841,GADE JR,LAWRENCE,SERGEANT OF POLICE
18A,2371,WALKER,ROBERT,SERGEANT OF POLICE
18A,1607,LARA,ILDEFONSO,SERGEANT OF POLICE
18A,2262,MC DONALD,KEVIN,SERGEANT OF POLICE
18A,2196,ROBERTS,JOHN,SERGEANT OF POLICE
18A,1139,DALY,CHARLES,SERGEANT OF POLICE
18A,857,BOCARDO,MICHAEL,SERGEANT OF POLICE
18A,208,SANCHEZ,JAMES,LIEUTENANT OF POLICE
18A,307,JEROME,DON,LIEUTENANT OF POLICE
18A,14098,MANGUERRA,GLENN,PO ASGN EVID. TECHNI
18A,8254,SKARUPINSKI,CHRIS,PO ASGN EVID. TECHNI
18A,484,VALADEZ,FRANCIS,COMMANDER
18A,6657,PHILLIPS III,CECIL,UNKNOWN
18A,18523,ALONSO,JAVIER,UNKNOWN
18A,2995,TORRES,MIGUEL,UNKNOWN
18A,13458,PETRENKO,THOMAS,UNKNOWN
18A,11974,SABELLA,ANTHONY,UNKNOWN
18A,17922,DIAZ,JOSHUA,UNKNOWN
18A,3156,GORMAN,THOMAS,POLICE OFFICER
18B,14179,GARZA,MANUEL,POLICE OFFICER
18B,13450,BURNS,ADAM,POLICE OFFICER
18B,14873,BADY,CRAIG,POLICE OFFICER
