CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
20A,20124,MULLANE,KEVIN,PO AS DETECTIVE
20A,20280,CYGNAR,BRIAN,PO AS DETECTIVE
20A,21060,CRUZ,GAIL,PO AS DETECTIVE
20A,20081,SHIELDS,TERRENCE,PO AS DETECTIVE
20A,21282,STRZALKA,NOREEN,PO AS DETECTIVE
20A,21061,SMITH,KEITH,PO AS DETECTIVE
20A,21385,MAGALLON,RAFAEL,PO AS DETECTIVE
20A,21517,VAHL,ROBERT,PO AS DETECTIVE
20A,21395,MURTAUGH,JOSEPH,PO AS DETECTIVE
20A,20518,ROSS,CHRISTOPH,PO AS DETECTIVE
20A,20169,JOHNSON,WILLIAM,PO AS DETECTIVE
20A,20771,NEALS,GERALD,PO AS DETECTIVE
20A,21305,VOGLER,JASON,PO AS DETECTIVE
20A,4548,GALASSI,ROBERT,PO/MOUNTED PAT OFF.
20A,2235,BROWN,CORNELIUS,SERGEANT OF POLICE
20A,2377,NIGRO,RICK,SERGEANT OF POLICE
20A,835,INZERRA,MAURIZIO,SERGEANT OF POLICE
20A,2208,ORLANDO,PHILLIP,SERGEANT OF POLICE
20A,1040,WHITE,ANTON,SERGEANT OF POLICE
20A,2530,ANDAVERDE,FEDERICO,SERGEANT OF POLICE
20A,924,MURPHY,GERARD,SERGEANT OF POLICE
20A,1861,KINNEY,DAVID,SERGEANT OF POLICE
20A,2128,TRUHLAR,JEFF,SERGEANT OF POLICE
20A,1335,SWAIN,MATTHEW,SERGEANT OF POLICE
20A,1874,BALLAUER,JAMES,SERGEANT OF POLICE
20A,18400,BLANDEN,JAMES,SERGEANT OF POLICE
20A,1477,GONZALEZ,LUIS,SERGEANT OF POLICE
20A,1815,KANE,BRIAN,SERGEANT OF POLICE
20A,2040,MURPHY,JOHN,SERGEANT OF POLICE
20A,1110,SPRADLEY,ERNEST,SERGEANT OF POLICE
20A,2647,KEETER,JOSEPH,SERGEANT OF POLICE
20A,1955,SHAVERS JR,ISAAC,SERGEANT OF POLICE
20A,1061,GRIFFIN,LAURA,SERGEANT OF POLICE
20A,1486,JACKSON,ERIC,SERGEANT OF POLICE
20A,1279,RIGAN,KRISTOPHE,SERGEANT OF POLICE
20A,1026,BELTRAN,EDUARDO,SERGEANT OF POLICE
20A,1986,OKEEFE,DENIS,SERGEANT OF POLICE
20A,1771,GUBALA,MICHELLE,SERGEANT OF POLICE
20A,361,STEVENS,MICHAEL,LIEUTENANT OF POLICE
20A,16090,MOSER,EDWARD,PO ASGN EVID. TECHNI
20A,8254,SKARUPINSKI,CHRIS,PO ASGN EVID. TECHNI
20A,470,GODSEL,DANIEL,COMMANDER
20A,30,DEVEREUX,GEORGE,COMMANDER
20A,11765,PEDRAZA JR,JOSE,UNKNOWN
20A,11575,LACKO,ELIAS,UNKNOWN
20A,16090,MOSER,EDWARD,UNKNOWN
20A,3927,SANDOVAL,PAUL,UNKNOWN
20A,12598,BOYD,STEPHEN,UNKNOWN
20A,3927,SANDOVAL,PAUL,UNKNOWN
20A,3156,GORMAN,THOMAS,POLICE OFFICER
20A,19999,MOHAMMAD,HAYTHAM,POLICE OFFICER
20A,15949,LEE,GEROLD,POLICE OFFICER
20A,10709,HUGHES,GARY,POLICE OFFICER
