CRID,Gender,Age,Race
1000009,F,37.106849315068494,WHITE HISPANIC
1000015,F,35.41095890410959,BLACK
1000015,F,24.416438356164385,BLACK
1000020,M,27.693150684931506,BLACK
1000021,M,26.454794520547942,BLACK
1000034,M,26.895890410958906,BLACK
1000034,M,27.52328767123288,BLACK
1000043,M,29.290410958904108,BLACK
1000043,M,35.553424657534244,BLACK
1000054,F,25.383561643835616,BLACK
1000055,M,25.427397260273974,BLACK
1000055,M,25.882191780821916,BLACK
1000058,M,25.764383561643836,WHITE HISPANIC
1000083,M,37.56986301369863,BLACK
1000085,M,82.36986301369863,WHITE HISPANIC
1000087,F,25.895890410958906,BLACK
1000093,M,25.52054794520548,BLACK
1000098,F,24.92054794520548,BLACK
1000101,M,26.783561643835615,BLACK
1000102,M,28.05205479452055,WHITE HISPANIC
1000104,F,25.93150684931507,BLACK
1000105,M,26.893150684931506,BLACK HISPANIC
1000121,F,73.05479452054794,BLACK
1000128,F,52.37260273972603,BLACK
1000130,M,37.5972602739726,BLACK
1000131,F,25.235616438356164,BLACK
1000134,M,64.0027397260274,BLACK
1000172,F,24.654794520547945,WHITE HISPANIC
1000172,F,27.46301369863014,WHITE HISPANIC
1000181,M,39.76986301369863,BLACK
1000182,M,26.490410958904107,BLACK
1000183,F,29.712328767123285,BLACK
1000202,F,21.780821917808222,BLACK
1000207,M,27.00821917808219,WHITE HISPANIC
1000217,F,37.35068493150685,BLACK
1000224,M,45.92876712328767,BLACK
1000235,M,24.873972602739727,BLACK
1000242,F,27.756164383561647,BLACK
1000248,M,33.0027397260274,BLACK
1000254,F,62.76164383561644,BLACK
1000263,F,30.835616438356166,BLACK
1000268,M,31.126027397260273,BLACK
1000270,M,51.868493150684934,BLACK
1000278,M,28.61917808219178,WHITE HISPANIC
1000281,F,37.6,BLACK
1000298,M,28.06301369863014,BLACK
1000301,M,43.0,BLACK
1000302,M,25.649315068493152,WHITE
1000303,M,24.59178082191781,BLACK
1000322,M,24.057534246575344,BLACK
1000326,M,40.68493150684932,WHITE HISPANIC
1000329,M,28.895890410958906,BLACK
1000356,M,23.69041095890411,BLACK
1000365,M,30.172602739726027,BLACK
1000370,F,26.09041095890411,BLACK
1000370,M,26.742465753424657,BLACK
1000377,M,35.85479452054794,WHITE
1000380,M,23.712328767123285,BLACK
1000381,M,26.742465753424657,BLACK
1000382,F,23.92054794520548,BLACK
1000387,M,27.12328767123288,BLACK
1000394,M,25.85753424657534,BLACK
1000402,F,24.16986301369863,BLACK
1000440,F,25.567123287671233,BLACK
1000458,F,27.838356164383562,BLACK
1000468,F,29.945205479452056,BLACK
1000468,M,29.898630136986302,BLACK
1000468,F,26.073972602739726,BLACK
1000468,F,29.882191780821916,BLACK
1000472,M,27.106849315068494,BLACK
1000477,M,38.78082191780822,BLACK
1000485,M,29.326027397260273,WHITE HISPANIC
1000487,M,24.383561643835616,BLACK
1000489,F,25.780821917808222,WHITE HISPANIC
1000491,M,24.632876712328766,WHITE HISPANIC
1000518,M,24.646575342465752,BLACK
1000521,M,26.205479452054796,BLACK
1000524,M,27.01095890410959,WHITE HISPANIC
1000525,M,61.42465753424657,BLACK
1000528,M,34.367123287671234,WHITE
1000542,M,26.435616438356163,BLACK
1000548,M,29.93150684931507,BLACK
1000551,M,24.164383561643834,BLACK
1000552,F,24.13150684931507,BLACK
1000555,M,39.78082191780822,BLACK
1000562,M,56.323287671232876,BLACK
1000563,M,26.457534246575342,WHITE
1000576,F,54.35890410958904,WHITE HISPANIC
1000577,M,27.18904109589041,BLACK
1000593,M,31.15068493150685,BLACK
1000598,M,24.306849315068494,BLACK
1000601,M,32.70958904109589,BLACK
1000603,F,26.093150684931505,BLACK
1000607,M,30.33972602739726,BLACK
1000609,M,24.84931506849315,BLACK
1000613,M,26.421917808219177,ASIAN/PACIFIC ISLANDER
1000617,F,25.75890410958904,BLACK
1000620,M,44.33150684931506,BLACK
1000621,F,53.07945205479452,BLACK
1000629,M,29.394520547945202,BLACK
1000635,F,25.821917808219176,BLACK
1000641,M,26.24109589041096,AMER IND/ALASKAN NATIVE
1000646,M,25.654794520547945,BLACK
1000682,M,38.38356164383561,BLACK
1000691,M,40.73150684931507,WHITE HISPANIC
1000704,M,39.56986301369863,BLACK
1000708,F,30.509589041095893,BLACK
1000708,F,32.9013698630137,BLACK
1000710,M,30.106849315068494,BLACK
1000711,M,21.265753424657532,BLACK
1000717,M,26.421917808219177,BLACK
1000718,M,47.56712328767123,BLACK
1000730,M,24.923287671232877,BLACK
1000730,M,23.643835616438356,BLACK
1000733,F,25.39178082191781,BLACK
1000754,F,60.42191780821918,WHITE
1000755,F,58.11506849315069,BLACK
1000773,M,22.38082191780822,BLACK
1000783,F,25.345205479452055,BLACK
1000800,F,23.67671232876712,BLACK
1000802,M,24.32054794520548,BLACK
1000808,F,45.25753424657534,BLACK
1000820,M,44.94520547945205,BLACK
1000821,M,32.95342465753425,BLACK
1000821,F,32.95342465753425,BLACK
1000821,F,30.32054794520548,BLACK
1000826,M,67.2986301369863,WHITE HISPANIC
1000832,M,24.219178082191778,BLACK
1000841,M,43.06301369863014,WHITE
1000845,M,67.33972602739726,BLACK
1000847,M,37.97534246575342,WHITE
1000850,M,42.980821917808214,WHITE HISPANIC
1000856,M,64.10684931506849,BLACK
1000857,M,27.561643835616437,BLACK
1000860,M,34.9041095890411,WHITE
1000861,F,51.484931506849314,BLACK
1000872,M,25.175342465753424,BLACK
1000873,M,54.630136986301366,WHITE HISPANIC
1000886,M,45.156164383561645,BLACK
1000890,F,25.895890410958906,BLACK
1000891,M,38.512328767123286,BLACK
1000896,M,30.18082191780822,WHITE HISPANIC
1000898,M,32.24383561643835,BLACK
1000899,M,26.328767123287673,WHITE HISPANIC
1000900,M,34.9041095890411,WHITE
1000924,M,33.24383561643835,BLACK
1000927,F,28.643835616438356,BLACK
1000933,M,14.857534246575343,BLACK
1000933,F,16.983561643835618,BLACK
1000933,F,16.643835616438356,BLACK
1000933,F,18.942465753424656,BLACK
1000933,F,43.42739726027398,BLACK
1000933,F,22.80821917808219,BLACK
1000949,M,31.838356164383562,BLACK
1000951,M,27.745205479452057,WHITE HISPANIC
1000956,M,37.893150684931506,BLACK
1000960,M,27.07123287671233,BLACK
1000961,M,32.97260273972603,BLACK
1000962,M,29.106849315068494,BLACK
1000968,M,25.073972602739726,BLACK
