Complaint_Number,Complainant_Gender,Complainant_Age,Complainant_Race_Desc
1053804,M,26.1835616438356,WHITE
1053808,M,64.5369863013699,WHITE
1053815,M,30.8712328767123,BLACK
1053816,F,143.717808219178,BLACK
1053820,M,31.172602739726,WHITE
1053821,M,44.9506849315068,HISPANIC
1053822,M,25.4493150684932,BLACK
1053823,M,78.0712328767123,BLACK
1053824,F,50.7260273972603,BLACK
1053826,M,35.1150684931507,WHITE
1053828,F,59.958904109589,WHITE
1053830,M,42.958904109589,BLACK
1053832,F,33.1178082191781,BLACK
1053833,M,39.6767123287671,WHITE HISPANIC
1053835,F,67.2054794520548,BLACK
1053837,M,24.0821917808219,WHITE
1053839,F,,UNKNOWN
1053842,F,37.3808219178082,BLACK
1053843,F,,BLACK
1053844,M,53.0958904109589,BLACK
1053846,F,24.6876712328767,BLACK
1053847,F,33.2191780821918,BLACK
1053849,M,38.9479452054794,WHITE
1053852,M,,BLACK
1053855,F,33.5972602739726,BLACK
1053857,M,46.945205479452,BLACK
1053858,M,27.9452054794521,BLACK
1053860,M,26.7753424657534,ASIAN/PACIFIC ISLANDER
1053863,M,42.8246575342466,BLACK
1053866,F,43.9424657534247,BLACK
1053868,M,,ASIAN/PACIFIC ISLANDER
1053869,M,68.3643835616438,WHITE
1053870,F,40.6684931506849,UNKNOWN
1053874,M,32.5753424657534,BLACK
1053876,M,30.9013698630137,BLACK
1053878,F,,BLACK
1053879,M,,BLACK
1053880,F,26.4,BLACK
1053881,M,54.3232876712329,BLACK
1053882,M,23.4493150684932,BLACK
1053884,F,49.2931506849315,BLACK
1053885,M,27.7890410958904,BLACK
1053889,F,37.9890410958904,BLACK
1053890,M,27.0191780821918,WHITE HISPANIC
1053891,M,27.1835616438356,BLACK
1053892,F,35.8164383561644,BLACK
1053893,F,45.0876712328767,BLACK
1053894,F,39.7643835616438,BLACK
1053896,M,,WHITE
1053898,F,28.0,BLACK
1053899,M,29.9753424657534,BLACK
1053901,M,43.7315068493151,ASIAN/PACIFIC ISLANDER
1053902,F,42.5671232876712,BLACK
1053903,M,23.8493150684932,BLACK
1053906,F,,WHITE HISPANIC
1053907,M,34.8876712328767,WHITE HISPANIC
1053908,M,25.3424657534247,BLACK
1053909,M,36.1260273972603,BLACK
1053912,M,34.1068493150685,BLACK
1053913,M,32.9835616438356,BLACK
1053915,F,53.8109589041096,BLACK
1053916,F,36.1095890410959,BLACK
1053917,F,28.2438356164384,BLACK
1053918,M,25.4191780821918,WHITE
1053921,M,55.6712328767123,WHITE
1053922,M,84.1671232876712,UNKNOWN
1053924,M,37.786301369863,BLACK
1053926,M,24.1150684931507,BLACK
1053927,F,50.4684931506849,WHITE
1053929,M,58.7452054794521,BLACK
1053930,M,,BLACK
1053932,F,42.4575342465753,BLACK
1053933,F,41.8301369863014,BLACK
1053935,M,35.2465753424658,BLACK
1053937,M,,WHITE HISPANIC
1053939,F,33.8712328767123,BLACK
1053940,M,54.8383561643836,WHITE
1053941,M,32.9972602739726,BLACK
