CRID,Witness_Gender,Witness_Race
1052226,F,BLACK
1052227,F,BLACK
1052229,F,BLACK
1052230,M,BLACK
1052232,F,BLACK
1052233,M,BLACK
1052237,M,WHITE
1052239,F,BLACK
1052244,M,BLACK
1052245,F,BLACK
1052246,M,BLACK
1052247,F,BLACK
1052250,F,BLACK
1052252,M,WHITE HISPANIC
1052253,F,BLACK
1052254,M,WHITE
1052255,M,WHITE
1052256,M,BLACK
1052257,F,BLACK
1052258,F,WHITE
1052260,F,BLACK
1052262,M,BLACK
1052263,M,BLACK
1052264,M,BLACK
1052265,F,WHITE
1052266,F,WHITE
1052267,F,BLACK
1052268,M,WHITE
1052269,F,BLACK
1052270,M,BLACK
1052271,M,BLACK
1052272,F,BLACK
1052274,F,BLACK
1052275,M,WHITE
1052281,F,BLACK
1052283,F,BLACK
1052284,M,UNKNOWN
1052285,F,BLACK
1052286,M,BLACK
1052288,M,BLACK
1052290,M,WHITE
1052291,M,WHITE
1052292,M,BLACK
1052293,M,BLACK
1052294,M,BLACK
1052295,M,WHITE HISPANIC
1052296,F,BLACK
1052298,M,BLACK
1052303,M,WHITE
1052304,M,WHITE
1052305,M,WHITE HISPANIC
1052306,F,BLACK
1052308,F,BLACK
1052314,M,WHITE
1052315,F,WHITE
1052316,M,BLACK
1052317,M,BLACK
1052319,M,BLACK
1052320,F,BLACK
1052321,M,SPANISH (DO NOT USE)
1052324,M,BLACK
1052325,M,WHITE
1052327,M,BLACK
1052329,M,WHITE
1052330,M,BLACK
1052331,M,BLACK
1052332,F,BLACK
1052333,M,BLACK
1052334,M,BLACK
1052336,M,BLACK
1052337,M,WHITE
1052338,F,WHITE HISPANIC
1052341,F,WHITE HISPANIC
1052342,F,BLACK
1052343,F,BLACK
1052344,M,ASIAN/PACIFIC ISLANDER
1052345,F,UNKNOWN
1052346,F,WHITE
1052347,F,BLACK
1052350,F,WHITE
1052351,F,WHITE HISPANIC
1052352,F,BLACK
1052356,F,BLACK
1052361,F,UNKNOWN
1052362,M,WHITE HISPANIC
1052365,M,BLACK
1052366,M,BLACK
1052367,M,BLACK
1052368,M,BLACK
1052374,F,WHITE HISPANIC
1052375,F,BLACK
1052377,M,BLACK
1052378,M,WHITE
1052379,F,BLACK
1052382,M,BLACK
1052383,F,WHITE HISPANIC
1052384,M,WHITE HISPANIC
1052385,F,BLACK
1052390,M,BLACK
1052392,F,BLACK
1052395,F,BLACK
1052398,F,BLACK
1052399,F,BLACK
1052404,M,BLACK
1052405,M,WHITE
1052406,M,BLACK
1052408,F,BLACK
1052409,M,WHITE HISPANIC
1052410,M,BLACK
1052411,F,BLACK
1052411,F,BLACK
1052413,M,SPANISH (DO NOT USE)
1052415,M,SPANISH (DO NOT USE)
1052418,F,BLACK
1052419,F,BLACK
1052420,M,BLACK
1052421,F,WHITE
1052422,F,BLACK
1052423,F,BLACK
1052424,M,BLACK
1052426,M,BLACK
1052427,M,BLACK
1052428,M,WHITE HISPANIC
1052430,F,SPANISH (DO NOT USE)
1052431,M,ASIAN/PACIFIC ISLANDER
1052434,M,BLACK
1052435,F,UNKNOWN
1052436,F,UNKNOWN
1052437,M,WHITE HISPANIC
1052441,F,BLACK
1052442,F,BLACK
1052443,M,BLACK
1052444,F,SPANISH (DO NOT USE)
1052448,F,BLACK
1052449,M,BLACK
1052450,M,BLACK
1052451,M,BLACK
1052452,M,BLACK
1052454,M,BLACK HISPANIC
1052456,M,BLACK
1052461,M,WHITE
1052462,M,BLACK
1052463,M,BLACK
1052464,F,BLACK
1052465,M,WHITE HISPANIC
1052466,M,BLACK
1052467,F,WHITE HISPANIC
1052468,M,BLACK
1052469,F,WHITE
1052471,M,BLACK
1052472,M,BLACK
1052472,M,UNKNOWN
1052472,M,UNKNOWN
1052473,M,WHITE
1052474,M,WHITE HISPANIC
1052475,F,WHITE
1052476,F,BLACK
1052477,F,WHITE
1052478,M,BLACK
1052479,F,BLACK
1052486,F,WHITE
1052489,F,WHITE HISPANIC
1052490,F,BLACK
1052491,M,WHITE HISPANIC
1052492,F,BLACK
1052493,F,WHITE HISPANIC
1052494,M,BLACK
1052495,M,BLACK
1052499,F,BLACK
1052503,M,BLACK
1052504,F,BLACK
1052505,F,BLACK
1052506,F,BLACK
1052507,M,BLACK
1052508,F,WHITE
1052509,M,BLACK
1052510,M,WHITE
1052511,M,WHITE
1052512,M,WHITE HISPANIC
1052514,M,WHITE
1052515,M,WHITE HISPANIC
1052516,M,BLACK
1052517,F,BLACK
1052518,M,WHITE
1052519,M,WHITE
1052520,M,BLACK
1052521,M,BLACK
1052523,M,BLACK
1052528,F,BLACK
1052529,F,BLACK
1052530,M,BLACK
1052534,M,BLACK
1052535,M,BLACK
1052536,F,BLACK
1052537,F,BLACK
1052538,F,BLACK
1052540,M,WHITE
1052541,M,WHITE
1052546,F,BLACK
1052548,F,BLACK
1052561,M,BLACK
1052563,M,BLACK
1052566,M,BLACK
1052566,F,BLACK
1052567,F,BLACK
1052568,F,BLACK
1052573,F,BLACK
1052575,M,BLACK
1052576,F,WHITE HISPANIC
1052610,F,BLACK
1052618,M,BLACK
1052630,M,BLACK
1052677,F,BLACK
1052691,F,BLACK
1052692,F,BLACK
1052694,M,WHITE
1052695,F,SPANISH (DO NOT USE)
1052700,F,WHITE
1052714,F,WHITE HISPANIC
1052729,F,BLACK
1052732,M,WHITE HISPANIC
1052733,F,BLACK
1052737,M,WHITE
1052739,F,BLACK
1052742,M,WHITE
1052746,M,UNKNOWN
1052760,M,WHITE
1052774,F,WHITE HISPANIC
1052775,M,SPANISH (DO NOT USE)
1052782,F,WHITE
1052801,M,BLACK
1052863,M,WHITE
1052864,M,BLACK
1052868,F,BLACK
1052884,M,WHITE
1052901,M,BLACK
1052917,M,WHITE
1052953,M,BLACK
1052958,M,WHITE
1052965,F,BLACK
1052986,F,BLACK
1053009,M,BLACK
1053019,F,UNKNOWN
1053050,M,BLACK
1053052,M,BLACK
1053052,F,UNKNOWN
1053055,F,BLACK
1053063,M,BLACK
1053066,F,BLACK
1053080,F,BLACK
1053103,F,BLACK
1053253,M,BLACK
1053253,M,BLACK
1053397,M,UNKNOWN
1053423,F,UNKNOWN
1053428,M,WHITE
1053429,F,UNKNOWN
1053466,F,WHITE HISPANIC
1053500,M,BLACK
1053504,M,WHITE HISPANIC
1053537,M,BLACK
1053542,M,BLACK
1053557,F,BLACK
1053590,M,BLACK
1053628,M,BLACK
1053630,F,BLACK
1053711,M,BLACK
1053745,M,WHITE
1053746,F,BLACK
1053775,M,BLACK
1053778,M,UNKNOWN
1053811,M,BLACK
1053883,F,BLACK
1053900,M,WHITE
1053946,F,WHITE HISPANIC
1054003,M,BLACK
1054215,F,BLACK
1054233,M,BLACK
1054246,M,WHITE
1054581,F,BLACK
1054661,M,WHITE
1054693,F,UNKNOWN
1054707,M,BLACK
1054716,M,BLACK
1054771,M,BLACK
1054802,M,UNKNOWN
1054900,F,WHITE
1055002,F,WHITE
1055076,M,UNKNOWN
1055120,M,WHITE
1055121,M,UNKNOWN
1055154,M,BLACK
1055296,X,UNKNOWN
1055468,M,ASIAN/PACIFIC ISLANDER
1055468,M,BLACK
1055483,M,BLACK
1055617,M,BLACK
1055914,M,BLACK
1055917,F,WHITE
1055983,M,UNKNOWN
1056310,F,WHITE
1056648,M,BLACK
1056700,M,SPANISH (DO NOT USE)
1056700,M,WHITE
1056722,M,WHITE
1056742,M,UNKNOWN
1056743,F,UNKNOWN
1056753,M,WHITE
1056974,M,WHITE HISPANIC
1056996,M,BLACK
1057160,M,BLACK
1057167,M,UNKNOWN
1057292,M,BLACK
1057323,M,WHITE
1057354,M,BLACK
1057515,M,BLACK
1057539,M,BLACK
1057569,M,UNKNOWN
1057624,F,BLACK
1057693,F,BLACK
1057726,M,BLACK
1057798,M,UNKNOWN
1057811,M,BLACK
1057945,M,BLACK
1058056,F,BLACK
1058115,M,BLACK
1058200,M,WHITE HISPANIC
1058254,M,BLACK
1058373,M,WHITE
1058373,F,WHITE
1058384,M,WHITE
1058412,M,ASIAN/PACIFIC ISLANDER
1058430,M,UNKNOWN
1058431,M,UNKNOWN
1058432,M,UNKNOWN
1058458,M,UNKNOWN
1058741,M,UNKNOWN
1058774,F,BLACK
1059083,M,SPANISH (DO NOT USE)
1059197,M,BLACK
1059368,X,UNKNOWN
1059416,M,UNKNOWN
1059499,M,UNKNOWN
1059500,F,UNKNOWN
1059589,M,BLACK
1059741,M,BLACK
1059778,X,UNKNOWN
1059780,M,UNKNOWN
1059951,M,UNKNOWN
1059955,M,BLACK
1060030,M,UNKNOWN
1060139,M,WHITE
1060237,M,UNKNOWN
1060238,M,BLACK
1060689,F,UNKNOWN
1060746,M,BLACK
1060858,M,BLACK
1061136,X,UNKNOWN
1061285,M,BLACK
1061483,F,UNKNOWN
1062217,F,UNKNOWN
1062221,M,BLACK
1062357,M,UNKNOWN
1062684,M,WHITE
1062795,M,UNKNOWN
1062815,F,BLACK
1062825,X,UNKNOWN
1062984,M,WHITE
1063447,M,WHITE
1063607,F,BLACK
1063965,F,UNKNOWN
1064256,F,BLACK
1064667,M,UNKNOWN
1064679,F,WHITE
1065050,F,BLACK
1065173,M,BLACK
1065336,M,UNKNOWN
1065820,M,UNKNOWN
1065997,F,BLACK
1066373,M,UNKNOWN
1066450,M,UNKNOWN
1066508,M,UNKNOWN
1066509,M,UNKNOWN
1066530,M,BLACK
1066909,M,UNKNOWN
1066996,M,UNKNOWN
1067021,F,WHITE
1067165,X,UNKNOWN
1067665,M,UNKNOWN
1068763,X,UNKNOWN
1069420,X,UNKNOWN
1070603,M,BLACK
1070801,M,ASIAN/PACIFIC ISLANDER
1071598,F,WHITE
1071823,M,UNKNOWN
1072283,M,UNKNOWN
1072423,F,UNKNOWN
1074154,F,WHITE
10492785,F,BLACK
10851356,M,BLACK
1039179,M,BLACK
1039179,M,BLACK
1039179,F,BLACK
1052542,F,BLACK
1052545,M,WHITE
1052551,M,BLACK
1052554,M,WHITE
1052555,F,UNKNOWN
1052556,M,BLACK
1052557,F,SPANISH (DO NOT USE)
1052558,F,WHITE
1052559,F,BLACK
1052560,F,BLACK
1052562,F,BLACK
1052564,F,WHITE HISPANIC
1052565,M,ASIAN/PACIFIC ISLANDER
1052569,F,WHITE
1052574,M,BLACK
1052581,F,BLACK
1052586,F,BLACK
1052587,M,WHITE HISPANIC
1052589,F,BLACK
1052590,F,BLACK
1052591,M,WHITE HISPANIC
1052592,M,BLACK
1052594,F,BLACK
1052596,M,BLACK
1052597,F,WHITE HISPANIC
1052598,F,BLACK
1052605,F,BLACK
1052606,F,BLACK
1052609,M,BLACK
1052620,M,WHITE
1052622,M,UNKNOWN
1052624,M,WHITE
1052626,M,WHITE
1052626,F,SPANISH (DO NOT USE)
1052627,M,BLACK
1052632,F,WHITE
1052633,F,BLACK
1052634,F,BLACK
1052635,F,BLACK
1052636,F,BLACK
1052638,M,WHITE HISPANIC
1052639,F,BLACK
1052639,F,BLACK
1052640,F,WHITE
1052643,M,BLACK
1052644,F,BLACK
1052645,F,BLACK
1052647,M,WHITE
1052650,F,BLACK
1052651,M,WHITE HISPANIC
1052653,F,BLACK
1052655,M,ASIAN/PACIFIC ISLANDER
1052658,F,BLACK
1052659,F,BLACK
1052661,F,WHITE
1052662,F,BLACK
1052663,M,WHITE
1052664,F,BLACK
1052673,M,BLACK
1052676,M,WHITE
1052680,F,UNKNOWN
1052683,M,BLACK
1052685,M,BLACK
1052690,M,BLACK
1052696,F,WHITE HISPANIC
1052697,F,BLACK
1052698,M,WHITE
1052699,F,WHITE
1052703,F,WHITE
1052705,F,BLACK
1052706,M,BLACK
1052707,F,BLACK
1052708,F,WHITE HISPANIC
1052710,F,BLACK
1052716,M,BLACK
1052717,F,WHITE HISPANIC
1052717,M,BLACK
1052721,F,WHITE HISPANIC
1052722,M,BLACK
1052723,F,WHITE HISPANIC
1052727,M,BLACK
1052730,F,BLACK
1052731,F,BLACK
1052735,M,WHITE
1052736,F,BLACK
1052738,M,WHITE
1052740,M,BLACK
1052741,M,BLACK
1052747,F,WHITE HISPANIC
1052748,F,BLACK
1052749,F,BLACK
1052750,M,BLACK
1052754,M,WHITE HISPANIC
1052755,F,UNKNOWN
1052759,F,BLACK
1052763,M,BLACK
1052764,F,UNKNOWN
1052768,M,BLACK
1052769,F,BLACK
1052770,M,BLACK
1052772,F,WHITE HISPANIC
1052773,F,BLACK
1052776,F,BLACK
1052778,F,WHITE
1052784,M,WHITE
1052789,F,UNKNOWN
1052794,F,BLACK
1052795,M,BLACK
1052796,M,BLACK
1052798,M,BLACK
1052799,M,BLACK
1052803,M,BLACK
1052806,M,WHITE HISPANIC
1052807,F,WHITE
1052808,M,BLACK
1052809,M,WHITE HISPANIC
1052810,F,WHITE
1052811,M,WHITE HISPANIC
1052813,M,BLACK
1052814,M,BLACK
1052820,M,SPANISH (DO NOT USE)
1052821,F,BLACK
1052828,M,BLACK
1052833,F,BLACK
1052834,M,BLACK
1052835,F,BLACK
1052836,M,BLACK
1052837,M,BLACK
1052838,M,WHITE HISPANIC
1052842,M,BLACK
1052844,F,BLACK
1052846,M,WHITE
1052847,F,BLACK
1052848,M,BLACK
1052849,F,BLACK
1052850,F,WHITE HISPANIC
1052853,F,WHITE
1052854,M,BLACK
1052856,F,BLACK
1052860,M,BLACK
1052861,M,BLACK
1052867,M,WHITE
1052869,F,BLACK
1052870,F,WHITE
1052871,F,WHITE
1052872,M,BLACK
1052873,F,BLACK
1052875,M,UNKNOWN
1052877,M,WHITE
1052881,F,BLACK
1052882,F,BLACK
1052883,M,BLACK
1052886,M,WHITE HISPANIC
1052890,M,BLACK
1052891,M,WHITE
1052893,F,ASIAN/PACIFIC ISLANDER
1052895,F,BLACK
1052896,F,WHITE HISPANIC
1052898,F,BLACK
1052903,M,BLACK
1052908,F,WHITE
1052910,M,WHITE
1052911,M,BLACK
1052912,F,WHITE
1052913,M,BLACK
1052915,M,BLACK
1052919,M,BLACK
1052922,F,BLACK
1052924,F,BLACK
1052926,M,BLACK
1052927,M,WHITE
1052928,M,WHITE HISPANIC
1052929,M,UNKNOWN
1052931,F,WHITE
1052932,M,BLACK
1052933,F,BLACK
1052936,F,WHITE
1052937,M,WHITE HISPANIC
1052938,M,BLACK
1052941,F,BLACK
1052943,M,BLACK
1052944,M,WHITE
1052945,F,WHITE
1052946,M,WHITE HISPANIC
1052947,M,BLACK
1052948,F,BLACK
1052951,F,WHITE HISPANIC
1052954,F,BLACK
1052955,M,WHITE
1052961,F,WHITE
1052964,M,BLACK
1052966,F,BLACK
1052967,M,BLACK
1052968,M,BLACK
1052969,M,ASIAN/PACIFIC ISLANDER
1052970,M,BLACK
1052973,M,WHITE
1052975,F,BLACK
1052977,F,WHITE HISPANIC
1052979,F,BLACK
1052980,M,WHITE
1052981,F,BLACK
1052982,F,BLACK
1052983,F,BLACK
1052984,M,WHITE
1052985,F,BLACK
1052988,F,BLACK
1052989,M,BLACK
1052990,M,BLACK
1052994,M,WHITE
1052995,F,WHITE
1052998,F,BLACK
1052999,M,WHITE HISPANIC
1053002,F,WHITE
1053005,F,BLACK
1053007,F,BLACK
1053011,M,WHITE
1053012,M,WHITE
1053015,F,UNKNOWN
1053017,F,WHITE HISPANIC
1053022,M,WHITE
1053028,M,BLACK
1053029,M,SPANISH (DO NOT USE)
1053030,F,BLACK
1053032,F,BLACK
1053033,M,BLACK
1053034,M,WHITE
1053036,F,BLACK
1053041,M,WHITE
1053042,M,BLACK
1053046,M,BLACK
1053047,M,BLACK
1053048,M,BLACK
1053049,M,WHITE
1053051,F,BLACK
1053061,F,UNKNOWN
1053064,F,WHITE
1053068,F,BLACK
1053071,F,BLACK
1053072,M,BLACK
1053073,M,BLACK
1053075,M,BLACK
1053075,F,BLACK
1053076,F,BLACK
1053078,M,WHITE
1053079,M,BLACK
1053081,M,WHITE
1053084,F,BLACK
1053085,M,BLACK
1053093,F,BLACK
1053095,M,BLACK
1053097,M,WHITE
1053098,M,BLACK
1053099,M,WHITE HISPANIC
1053100,F,BLACK
1053101,F,WHITE
1053104,M,BLACK
1053106,M,BLACK
1053107,M,BLACK
1053109,M,WHITE
1053112,M,WHITE
1053113,M,BLACK
1053114,F,WHITE
1053115,F,WHITE
1053117,M,BLACK
1053120,M,WHITE HISPANIC
1053122,M,WHITE
1053124,F,BLACK
1053128,F,UNKNOWN
1053132,M,WHITE
1053133,F,BLACK
1053134,M,BLACK
1053135,M,BLACK
1053138,F,BLACK
1053139,M,BLACK
1053140,M,BLACK
1053141,M,WHITE
1053144,M,WHITE HISPANIC
1053150,F,BLACK
1053153,M,BLACK
1053154,F,BLACK
1053155,F,WHITE
1053156,F,BLACK
1053157,F,BLACK
1053158,F,BLACK
1053160,F,WHITE HISPANIC
1053161,F,BLACK
1053164,M,WHITE
1053165,M,WHITE
1053166,M,WHITE
1053168,M,UNKNOWN
1053169,F,WHITE
1053173,M,WHITE
1053174,M,WHITE
1053179,M,BLACK
1053181,M,UNKNOWN
1053187,F,WHITE
1053187,M,WHITE HISPANIC
1053188,M,BLACK
1053191,M,BLACK
1053192,F,BLACK
1053195,M,WHITE HISPANIC
1053196,F,SPANISH (DO NOT USE)
1053196,F,WHITE
1053199,F,BLACK
1053201,F,BLACK
1053203,M,BLACK
1053205,M,ASIAN/PACIFIC ISLANDER
1053207,F,BLACK
1053208,F,BLACK
1053209,M,BLACK
1053213,F,WHITE HISPANIC
1053214,F,BLACK
1053215,F,BLACK
1053216,F,BLACK
1053217,M,BLACK
1053219,M,WHITE
1053221,F,BLACK
1053223,F,BLACK
1053224,M,BLACK
1053226,M,BLACK
1053231,F,BLACK
1053236,F,BLACK
1053239,M,BLACK
1053242,M,BLACK
1053245,M,BLACK
1053246,F,BLACK
1053248,F,BLACK
1053249,M,BLACK
1053250,M,UNKNOWN
1053252,M,BLACK
1053255,F,WHITE
1053257,M,BLACK
1053258,M,BLACK
1053259,M,BLACK
1053260,M,BLACK
1053261,F,UNKNOWN
1053262,F,WHITE
1053263,M,BLACK
1053266,M,BLACK
1053268,F,WHITE HISPANIC
1053270,M,ASIAN/PACIFIC ISLANDER
1053271,F,BLACK
1053275,M,BLACK
1053278,F,WHITE
1053279,F,BLACK
1053280,M,WHITE HISPANIC
1053282,M,WHITE
1053283,F,BLACK
1053284,F,BLACK
1053285,F,BLACK
1053287,F,BLACK
1053288,M,BLACK
1053290,F,BLACK
1053291,F,BLACK
1053292,M,BLACK
1053296,F,BLACK
1053299,F,ASIAN/PACIFIC ISLANDER
1053304,F,BLACK
1053305,F,WHITE HISPANIC
1053308,M,BLACK
1053310,F,BLACK
1053313,M,WHITE HISPANIC
1053314,M,BLACK
1053315,M,BLACK
1053317,F,BLACK
1053318,F,BLACK
1053319,F,BLACK
1053320,M,BLACK
1053321,F,BLACK
1053322,M,WHITE HISPANIC
1053323,M,BLACK
1053324,M,WHITE HISPANIC
1053325,F,BLACK
1053327,F,WHITE
1053333,F,WHITE
1053335,F,WHITE
1053336,M,WHITE
1053337,M,BLACK
1053338,F,BLACK
1053339,M,WHITE
1053340,F,BLACK
1053341,F,BLACK
1053343,F,BLACK
1053344,F,BLACK
1053345,M,BLACK
1053346,M,WHITE
1053347,F,BLACK
1053349,M,BLACK
1053351,M,WHITE HISPANIC
1053358,F,BLACK
1053360,M,WHITE HISPANIC
1053361,F,BLACK
1053362,F,WHITE HISPANIC
1053364,F,WHITE
1053365,F,BLACK
1053366,M,BLACK
1053366,M,SPANISH (DO NOT USE)
1053367,F,BLACK
1053368,M,WHITE
1053369,M,WHITE
1053370,M,ASIAN/PACIFIC ISLANDER
1053371,F,WHITE
1053372,M,WHITE
1053378,F,WHITE HISPANIC
1053380,F,BLACK
1053381,M,BLACK
1053382,M,WHITE HISPANIC
1053383,F,BLACK
1053385,F,BLACK
1053385,M,UNKNOWN
1053387,F,BLACK
1053388,M,WHITE HISPANIC
1053393,M,BLACK
1053395,M,BLACK
1053398,F,BLACK
1053399,F,BLACK
1053401,F,BLACK
1053402,M,BLACK
1053403,M,BLACK
1053405,M,WHITE
1053407,F,BLACK
1053410,F,BLACK
1053411,M,BLACK
1053414,M,WHITE
1053415,M,WHITE
1053416,M,BLACK
1053419,M,BLACK
1053420,M,WHITE HISPANIC
1053421,F,UNKNOWN
1053421,M,UNKNOWN
1053425,F,UNKNOWN
1053426,F,BLACK
1053430,M,BLACK
1053431,F,WHITE
1053432,M,WHITE HISPANIC
1053434,F,BLACK
1053435,F,BLACK
1053437,F,BLACK
1053439,F,WHITE
1053440,M,BLACK
1053442,M,WHITE
1053444,F,BLACK
1053447,F,BLACK
1053448,F,BLACK
1053449,M,BLACK
1053452,F,BLACK
1053453,F,WHITE HISPANIC
1053457,F,WHITE
1053460,F,WHITE
1053463,F,BLACK
1053464,M,BLACK
1053470,M,BLACK
1053472,M,BLACK
1053473,M,UNKNOWN
1053475,F,BLACK HISPANIC
1053476,F,WHITE HISPANIC
1053477,M,BLACK
1053478,M,BLACK
1053481,F,BLACK
1053482,M,BLACK
1053483,F,WHITE HISPANIC
1053484,M,BLACK
1053485,F,BLACK
1053486,F,WHITE
1053487,M,BLACK
1053488,F,BLACK
1053491,M,BLACK
1053492,F,BLACK
1053493,M,WHITE HISPANIC
1053494,F,BLACK
1053495,F,UNKNOWN
1053497,M,BLACK
1053498,F,WHITE HISPANIC
1053501,M,BLACK
1053502,M,BLACK
1053503,M,BLACK
1053505,F,BLACK
1053506,F,WHITE
1053508,M,WHITE
1053509,M,WHITE HISPANIC
1053510,M,BLACK
1053513,F,BLACK
1053516,F,UNKNOWN
1053517,M,WHITE HISPANIC
1053518,F,BLACK
1053519,F,WHITE HISPANIC
1053520,M,BLACK
1053521,F,WHITE
1053524,M,BLACK
1053526,M,WHITE
1053527,F,WHITE HISPANIC
1053529,M,WHITE HISPANIC
1053532,M,WHITE
1053534,M,BLACK
1053536,M,ASIAN/PACIFIC ISLANDER
1053538,M,BLACK
1053540,F,BLACK
1053541,M,WHITE
1053543,F,BLACK
1053544,F,BLACK
1053545,M,WHITE
1053546,M,UNKNOWN
1053548,M,BLACK
1053549,M,UNKNOWN
1053550,F,BLACK
1053552,F,BLACK
1053555,M,BLACK
1053561,F,BLACK
1053563,M,BLACK
1053564,F,BLACK
1053565,F,WHITE
1053570,M,BLACK
1053571,M,BLACK
1053577,M,WHITE
1053579,M,BLACK
1053581,F,BLACK
1053582,F,BLACK
1053583,F,BLACK
1053584,F,BLACK
1053585,F,BLACK
1053586,M,BLACK
1053591,F,BLACK
1053593,M,BLACK
1053595,F,BLACK
1053597,M,BLACK
1053598,M,WHITE
1053600,F,BLACK
1053602,M,WHITE
1053603,F,WHITE HISPANIC
1053604,F,BLACK
1053605,M,WHITE
1053607,F,BLACK
1053608,F,BLACK
1053611,M,BLACK
1053613,M,WHITE HISPANIC
1053615,M,BLACK
1053616,M,UNKNOWN
1053617,M,UNKNOWN
1053619,F,BLACK
1053620,F,WHITE HISPANIC
1053621,M,BLACK
1053623,M,BLACK
1053624,M,BLACK
1053627,F,UNKNOWN
1053629,M,BLACK
1053631,M,WHITE HISPANIC
1053632,F,BLACK
1053634,M,BLACK
1053635,M,BLACK
1053637,F,BLACK
1053638,F,BLACK
1053639,F,BLACK
1053644,M,BLACK
1053645,M,BLACK
1053646,M,BLACK
1053647,F,WHITE
1053648,M,BLACK
1053649,M,BLACK
1053651,M,BLACK
1053652,M,WHITE HISPANIC
1053653,F,BLACK
1053655,F,WHITE
1053656,M,BLACK
1053659,M,WHITE
1053661,F,WHITE
1053662,M,WHITE HISPANIC
1053664,F,BLACK
1053665,F,BLACK
1053666,F,BLACK
1053667,M,WHITE
1053669,M,BLACK
1053671,F,BLACK
1053673,M,BLACK
1053674,M,WHITE
1053675,M,BLACK
1053676,F,BLACK
1053677,M,BLACK
1053678,F,BLACK
1053679,M,WHITE
1053680,M,WHITE
1053682,M,BLACK
1053683,F,BLACK
1053684,M,BLACK
1053685,F,BLACK
1053686,M,WHITE
1053687,F,WHITE
1053688,M,AMER IND/ALASKAN NATIVE
1053689,M,WHITE
1053691,M,UNKNOWN
1053693,M,UNKNOWN
1053695,M,WHITE
1053696,F,WHITE
1053697,M,BLACK
1053698,M,SPANISH (DO NOT USE)
1053700,M,WHITE HISPANIC
1053701,M,BLACK
1053703,F,BLACK
1053704,M,WHITE
1053706,F,BLACK
1053708,M,WHITE
1053709,M,WHITE
1053710,M,UNKNOWN
1053712,M,BLACK
1053713,F,BLACK
1053714,F,BLACK
1053715,M,SPANISH (DO NOT USE)
1053716,F,BLACK
1053717,M,WHITE
1053720,M,BLACK
1053723,F,BLACK
1053724,M,WHITE
1053725,M,BLACK
1053726,M,WHITE
1053727,M,WHITE
1053729,M,BLACK
1053731,M,BLACK
1053733,M,UNKNOWN
1053734,M,BLACK
1053736,M,BLACK
1053737,F,BLACK
1053738,F,BLACK
1053739,M,BLACK
1053740,M,BLACK
1053741,M,BLACK
1053747,M,UNKNOWN
1053748,F,BLACK
1053749,M,BLACK
1053750,M,BLACK
1053751,M,BLACK
1053752,F,BLACK
1053753,M,BLACK
1053760,F,WHITE
1053764,F,BLACK
1053767,M,WHITE
1053768,M,WHITE
1053769,F,ASIAN/PACIFIC ISLANDER
1053773,F,BLACK
1053776,F,BLACK
1053777,F,BLACK
1053780,M,BLACK
1053781,F,BLACK
1053782,M,BLACK
1053783,M,BLACK
1053784,F,BLACK
1053785,M,WHITE
1053788,F,BLACK
1053791,F,SPANISH (DO NOT USE)
1053792,F,WHITE HISPANIC
1053793,F,WHITE
1053794,F,BLACK
1053798,F,BLACK
1053799,M,BLACK
1053800,F,BLACK
1053801,F,BLACK
1053802,F,BLACK
1053804,M,WHITE
1053808,M,WHITE
1053815,M,BLACK
1053816,F,BLACK
1053820,M,WHITE
1053821,M,SPANISH (DO NOT USE)
1053822,M,BLACK
1053823,M,BLACK
1053824,F,BLACK
1053826,M,WHITE
1053828,F,WHITE
1053830,M,BLACK
1053832,F,BLACK
1053833,M,WHITE HISPANIC
1053835,F,BLACK
1053837,M,WHITE
1053839,F,UNKNOWN
1053842,F,BLACK
1053843,F,BLACK
1053844,M,BLACK
1053845,M,WHITE
1053846,F,BLACK
1053847,F,BLACK
1053849,M,WHITE
1053852,M,BLACK
1053855,F,BLACK
1053857,M,BLACK
1053858,M,BLACK
1053860,M,ASIAN/PACIFIC ISLANDER
1053863,M,BLACK
1053866,F,BLACK
1053867,M,WHITE HISPANIC
1053868,M,ASIAN/PACIFIC ISLANDER
1053869,M,WHITE
1053870,F,UNKNOWN
1053874,M,BLACK
1053876,M,BLACK
1053878,F,BLACK
1053879,M,BLACK
1053880,F,BLACK
1053881,M,BLACK
1053882,M,BLACK
1053884,F,BLACK
1053885,M,BLACK
1053888,M,BLACK
1053889,F,BLACK
1053890,M,WHITE HISPANIC
1053891,M,BLACK
1053892,F,BLACK
1053893,F,BLACK
1053894,F,BLACK
1053895,M,BLACK
1053896,M,WHITE
1053898,F,BLACK
1053899,M,BLACK
1053901,M,ASIAN/PACIFIC ISLANDER
1053902,F,BLACK
1053903,M,BLACK
1053906,F,WHITE HISPANIC
1053907,M,WHITE HISPANIC
1053908,M,BLACK
1053909,M,BLACK
1053912,M,BLACK
1053913,M,BLACK
1053915,F,BLACK
1053916,F,BLACK
1053917,F,BLACK
1053918,M,WHITE
1053921,M,WHITE
1053922,M,UNKNOWN
1053923,M,WHITE
1053924,M,BLACK
1053926,M,BLACK
1053927,F,WHITE
1053929,M,BLACK
1053930,M,BLACK
1053932,F,BLACK
1053933,F,BLACK
1053935,M,BLACK
1053937,M,WHITE HISPANIC
1053939,F,BLACK
1053941,M,BLACK
1053942,F,BLACK
1053943,M,BLACK
1053944,F,BLACK
1053945,M,WHITE HISPANIC
