CRID,Witness_Gender,Witness_Race
1044437,M,WHITE
1044442,M,WHITE
1044442,M,BLACK
1044444,M,BLACK
1044448,M,WHITE
1044449,M,ASIAN/PACIFIC ISLANDER
1044450,M,BLACK
1044451,F,WHITE
1044452,F,BLACK
1044454,F,BLACK
1044456,M,WHITE
1044459,F,BLACK
1044460,M,WHITE
1044463,F,WHITE HISPANIC
1044464,F,BLACK
1044465,F,SPANISH (DO NOT USE)
1044469,F,BLACK
1044471,F,BLACK
1044472,F,BLACK
1044473,M,BLACK
1044475,M,WHITE
1044476,M,BLACK
1044477,M,BLACK
1044482,F,WHITE
1044485,M,BLACK
1044488,F,WHITE
1044490,M,BLACK
1044491,F,BLACK
1044492,F,UNKNOWN
1044493,M,WHITE
1044495,M,WHITE HISPANIC
1044497,F,BLACK
1044498,F,BLACK
1044499,F,BLACK
1044501,M,BLACK
1044503,F,BLACK
1044504,M,BLACK
1044505,F,BLACK
1044509,F,BLACK
1044510,F,BLACK
1044511,M,BLACK
1044514,F,UNKNOWN
1044515,M,BLACK
1044519,M,BLACK
1044521,M,BLACK
1044524,M,BLACK
1044525,F,BLACK
1044526,F,WHITE HISPANIC
1044529,M,BLACK
1044530,F,SPANISH (DO NOT USE)
1044532,F,WHITE
1044533,F,BLACK
1044534,M,BLACK
1044535,F,BLACK
1044538,M,WHITE
1044539,F,BLACK
1044541,F,BLACK
1044543,M,BLACK
1044544,F,BLACK
1044547,F,BLACK
1044549,M,BLACK
1044551,M,BLACK
1044559,M,BLACK
1044560,F,WHITE HISPANIC
1044562,M,SPANISH (DO NOT USE)
1044563,F,BLACK
1044564,F,BLACK
1044568,M,BLACK
1044569,M,BLACK
1044570,M,BLACK
1044571,M,BLACK
1044575,M,BLACK
1044576,F,WHITE
1044578,F,WHITE
1044579,M,BLACK
1044582,M,WHITE HISPANIC
1044583,F,WHITE
1044583,M,WHITE
1044584,M,BLACK
1044586,F,BLACK
1044588,M,WHITE
1044589,M,WHITE
1044591,M,WHITE HISPANIC
1044593,F,WHITE
1044596,M,BLACK
1044599,M,WHITE HISPANIC
1044600,M,BLACK
1044601,M,BLACK
1044603,F,BLACK
1044604,M,BLACK
1044605,F,BLACK
1044606,F,BLACK
1044607,M,WHITE
1044609,F,BLACK
1044610,M,WHITE
1044611,M,BLACK
1044613,F,WHITE
1044614,M,BLACK
1044615,M,BLACK
1044616,F,BLACK
1044617,M,BLACK
1044618,M,WHITE
1044619,F,BLACK
1044620,M,BLACK
1044621,M,BLACK
1044622,F,BLACK
1044624,F,BLACK
1044625,F,BLACK
1044626,F,WHITE
1044627,F,BLACK
1044630,M,WHITE HISPANIC
1044631,M,BLACK
1044632,F,WHITE
1044633,F,WHITE
1044634,F,BLACK
1044636,F,BLACK
1044637,M,WHITE
1044638,F,BLACK
1044641,F,BLACK
1044648,M,BLACK
1044649,M,BLACK
1044650,M,BLACK
1044651,F,SPANISH (DO NOT USE)
1044652,F,BLACK
1044654,M,WHITE
1044655,F,BLACK
1044658,F,WHITE
1044659,M,WHITE HISPANIC
1044662,M,BLACK
1044663,F,BLACK
1044664,F,BLACK
1044667,F,BLACK
1044668,F,BLACK
1044670,M,BLACK
1044672,M,BLACK
1044673,F,BLACK
1044679,F,BLACK
1044680,F,BLACK
1044682,F,BLACK
1044684,F,WHITE HISPANIC
1044686,F,BLACK
1044687,M,BLACK
1044690,F,BLACK
1044691,M,ASIAN/PACIFIC ISLANDER
1044694,M,BLACK
1044695,F,UNKNOWN
1044699,M,BLACK
1044700,F,WHITE
1044701,F,BLACK
1044702,F,WHITE
1044704,F,SPANISH (DO NOT USE)
1044705,F,SPANISH (DO NOT USE)
1044706,F,BLACK
1044709,M,BLACK
1044711,M,BLACK
1044712,F,BLACK
1044713,F,BLACK
1044714,M,BLACK
1044715,M,WHITE
1044717,M,WHITE
1044720,M,BLACK
1044722,F,BLACK
