Original_Dataset,Column_Name,Non_Null_Count,Unique_Count,Object_Type
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,CRID,3432,1471,int64
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Officer_Witness,3432,2691,object
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Officer_Witness_Gender,3432,2,object
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Officer_Witness_Race,3432,7,object
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Officer_Witness_Star,3220,2514,object
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Officer_Witness_Birth_Year,3415,56,float64
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Officer_Witness_Date_Appointed,3415,239,datetime64[ns]
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,FOIA_Request_Number,3432,1,object
P046957 - report 3 - police officer witness data xi-unlocked.xlsx,Report_Produced_Date,3432,1,object
